player,Linkname,Link,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,Snaps,IsTransfer,X2023School,DraftYear
Israel Abanikanda,Israel-Abanikanda,https://premium.pff.com/api/v1/players?league=ncaa&id=122999,122999,HB,PITTSBURGH,11,241,46,19,44.2,631,0,1426,2,9,46,644,58.1,38,73,268,3,68,73.8,88.4,88.3,,37.2,51.4,90.6,59,80,0,146,12,162,267,0,0,17,253,20,1426,644,2.67,5.9,0.9,171,497,0,Pittsburgh,2023
DeWayne McBride,DeWayne-McBride,https://premium.pff.com/api/v1/players?league=ncaa&id=121495,121495,HB,UAB,11,233,76,25,52.2,889,0,1702,0,1,76,1072,150.8,45,83,321,5,77,55.7,94.1,48,,64.2,52.4,93.5,57.1,68,1,10,2,71,254,0,0,4,235,19,1702,1072,4.6,7.3,0.14,155,405,0,UAB,2023
Ray Davis,Ray-Davis,https://premium.pff.com/api/v1/players?league=ncaa&id=101072,101072,HB,VANDERBILT,12,233,54,14,34,355,0,1044,1,6,54,737,72.4,24,55,333,1,74,87.5,82.6,87,56.8,38.2,67.7,84.9,63,45,0,169,29,223,302,0,0,37,262,5,1044,737,3.16,4.5,0.76,159,592,2,Kentucky,2024
Kimani Vidal,Kimani-Vidal,https://premium.pff.com/api/v1/players?league=ncaa&id=123727,123727,HB,TROY,14,231,64,17,32.4,365,0,1127,2,5,64,768,89.6,34,58,318,1,134,87.2,85.4,88.4,,60.6,51.7,90,57.4,40,0,134,25,211,247,0,0,31,256,10,1127,768,3.32,4.9,0.64,90,560,0,Troy,2025
Tyjae Spears,Tyjae-Spears,https://premium.pff.com/api/v1/players?league=ncaa&id=97195,97195,HB,TULANE,14,231,62,21,50,793,0,1586,2,18,62,1052,144,35,70,319,2,117,79.1,90.3,34.1,,61.4,73,90.7,64.4,75,2,251,22,202,304,0,0,28,253,19,1586,1052,4.55,6.9,1.24,112,612,0,Tulane,2023
Braelon Allen,Braelon-Allen,https://premium.pff.com/api/v1/players?league=ncaa&id=145159,145159,HB,WISCONSIN,12,230,51,15,40.3,501,0,1242,2,3,51,671,64.8,22,52,349,1,137,85.6,80,53.5,69.4,38.6,57.8,81.1,58.4,96,1,104,13,125,255,0,0,18,243,11,1242,671,2.92,5.4,0.83,90,456,0,Wisconsin,2025
Frank Gore Jr.,Frank-Gore-Jr.,https://premium.pff.com/api/v1/players?league=ncaa&id=121457,121457,HB,SO MISS,13,227,83,17,39.8,548,1,1366,0,6,82,948,149.4,46,67,296,3,145,72.4,91.9,89.4,71.2,60.3,68.3,92.4,56.6,64,1,219,19,208,301,12,1,24,246,9,1378,951,4.17,6,1.05,81,613,0,Southern Mississippi,2025
Kendre Miller,Kendre-Miller,https://premium.pff.com/api/v1/players?league=ncaa&id=123091,123091,HB,TCU,14,224,70,21,44.8,627,0,1399,2,9,70,816,119.9,38,66,305,2,101,78.9,85.3,85.8,,31.2,61.3,88.5,50.6,75,0,116,16,189,270,0,0,22,240,17,1399,816,3.64,6.2,0.61,119,512,0,TCU,2023
Raheim Sanders,Raheim-Sanders,https://premium.pff.com/api/v1/players?league=ncaa&id=146626,146626,HB,ARKANSAS,13,224,65,23,47.6,698,0,1466,1,10,65,703,93.8,41,68,111,3,35,71.9,83.4,86.9,,51.5,59.2,87.4,51.5,76,0,248,27,240,305,0,0,31,251,10,1466,703,3.14,6.5,1.03,184,574,0,Arkansas,2025
Sieh Bangura,Sieh-Bangura,https://premium.pff.com/api/v1/players?league=ncaa&id=145886,145886,HB,OHIO,12,222,46,7,23.7,255,0,1077,3,4,46,612,55.4,26,58,259,2,127,71.3,80.8,89.3,,67.1,61.8,83.8,51.2,64,0,210,27,218,289,0,0,36,249,13,1077,612,2.76,4.9,0.96,88,609,0,Ohio,2025
George Holani,George-Holani,https://premium.pff.com/api/v1/players?league=ncaa&id=72154,72154,HB,BOISE ST,13,221,69,14,31.9,369,0,1156,0,12,69,758,113.4,26,63,120,2,116,79.8,85.8,88.4,51.9,27.5,70.5,88.4,54.3,59,1,151,24,189,256,0,0,27,245,10,1156,758,3.43,5.2,0.8,104,508,0,Boise State,2024
Evan Hull,Evan-Hull,https://premium.pff.com/api/v1/players?league=ncaa&id=97302,97302,HB,NWESTERN,12,220,51,14,28.1,257,0,914,3,12,51,602,62.9,21,48,256,2,137,79,73.3,60.6,,23.7,74.9,73.5,53.7,29,1,536,54,290,266,0,0,66,274,5,914,602,2.74,4.2,1.85,83,604,0,Northwestern,2023
Anthony Grant,Anthony-Grant,https://premium.pff.com/api/v1/players?league=ncaa&id=77701,77701,HB,NEBRASKA,12,216,52,8,24.1,219,0,909,3,6,52,556,63.8,21,47,238,2,93,78.3,72.9,87.3,,30.2,53.3,77.3,57.4,46,0,104,18,215,250,0,0,21,234,6,909,556,2.57,4.2,0.48,113,537,0,Nebraska,2024
