player,Linkname,Link,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,Snaps,IsTransfer,X2023School,DraftYear
EJ Wilson Jr.,EJ-Wilson-Jr.,https://premium.pff.com/api/v1/players?league=ncaa&id=123652,123652,HB,FIU,12,79,20,2,10.7,31,0,290,1,3,20,216,64.2,9,17,166,0,22,85.8,70.2,83.4,,61.1,71.2,71.3,52.1,16,0,75,19,149,115,0,0,26,98,2,290,216,2.73,3.7,0.5,56,331,0,Florida International,2025
Zion Turner,Zion-Turner,https://premium.pff.com/api/v1/players?league=ncaa&id=158636,158636,QB,UCONN,13,43,7,3,14.7,55,0,137,0,0,1,63,3.3,14,19,146,9,4,36,47.8,80.5,46,,73.5,52.4,60.3,23,1,12,2,5,423,237,36,2,45,1,374,146,1.85,4.7,2.4,23,765,0,Connecticut,2026
Jaylan Knighton,Jaylan-Knighton,https://premium.pff.com/api/v1/players?league=ncaa&id=122215,122215,HB,MIAMI FL,10,78,15,5,37.6,158,0,420,3,1,15,225,53.7,11,22,220,4,40,26.7,62.9,27.8,,25.9,31.5,75.9,57.2,56,1,74,8,108,100,0,0,11,86,1,420,225,2.88,5.4,0.69,37,256,2,SMU,2024
Jaylon Glover,Jaylon-Glover,https://premium.pff.com/api/v1/players?league=ncaa&id=158484,158484,HB,UTAH,9,78,17,5,28.1,101,0,360,0,0,17,235,64.8,11,24,328,0,23,85.6,81.2,82.2,,40.3,55.3,81.5,59.8,29,0,6,1,47,88,0,0,1,79,4,360,235,3.01,4.6,0.13,55,143,0,Utah,2026
Calvin Hill,Calvin-Hill,https://premium.pff.com/api/v1/players?league=ncaa&id=97069,97069,HB,TEXAS ST,7,77,18,5,33,112,0,339,0,2,18,193,59,7,17,314,0,34,85.2,70.7,81.2,,22.3,56.6,74.7,60,27,0,46,8,93,78,0,0,10,85,1,339,193,2.51,4.4,0.49,40,191,0,Texas State,2024
Hendon Hooker,Hendon-Hooker,https://premium.pff.com/api/v1/players?league=ncaa&id=60593,60593,QB,TENNESSEE,11,42,22,3,12.7,72,0,220,0,0,8,74,33.6,19,31,307,7,11,55.9,90.9,89,85.4,,,84.4,60,44,4,0,0,0,325,346,35,0,42,5,566,333,4.32,7.4,,12,760,0,Tennessee,2023
Antwain Littleton II,Antwain-Littleton-II,https://premium.pff.com/api/v1/players?league=ncaa&id=144892,144892,HB,MARYLAND,12,77,20,6,52.9,200,0,378,0,1,20,303,99.6,8,24,215,2,24,51.7,69.5,83.3,,19.8,61,73.2,49.2,68,1,44,6,76,97,0,0,6,83,6,378,303,3.94,4.9,0.58,49,193,0,Maryland,2025
Iverson Celestine,Iverson-Celestine,https://premium.pff.com/api/v1/players?league=ncaa&id=144406,144406,HB,TULANE,12,77,16,2,14.7,44,0,300,0,2,16,184,53.1,8,13,319,2,25,51.2,63.9,82.6,,75.8,58.2,64.2,54.1,29,0,26,4,65,95,0,0,5,81,0,300,184,2.39,3.9,0.4,51,183,0,Tulane,2025
Stacy Sneed,Stacy-Sneed,https://premium.pff.com/api/v1/players?league=ncaa&id=123680,123680,HB,HOUSTON,12,77,28,8,44,222,0,504,0,3,28,268,110.1,15,24,182,1,38,70.3,76.2,84.2,,31.4,63.8,83.3,71.2,52,0,130,21,152,87,0,0,24,98,5,504,268,3.48,6.5,0.86,37,297,0,Houston,2025
Ahmani Marshall,Ahmani-Marshall,https://premium.pff.com/api/v1/players?league=ncaa&id=123391,123391,HB,APP STATE,9,76,8,7,39.6,154,0,389,1,0,8,187,24.6,9,16,108,0,32,85.3,68.1,82.9,,41.1,53.6,70,53.4,37,0,36,4,51,87,0,0,6,80,4,389,187,2.46,5.1,0.71,41,157,0,Appalachian State,2025
Noah Cain,Noah-Cain,https://premium.pff.com/api/v1/players?league=ncaa&id=97185,97185,HB,LSU,13,76,21,3,19.3,79,0,409,2,2,21,259,92.2,9,27,211,1,36,69.6,78.3,82.1,,65.1,50,84.7,66.3,49,0,76,9,112,92,0,0,13,85,10,409,259,3.41,5.4,0.68,40,245,0,LSU,2024
Brandon Thomas,Brandon-Thomas,https://premium.pff.com/api/v1/players?league=ncaa&id=121788,121788,HB,MEMPHIS,9,76,17,1,6.7,18,0,270,1,0,17,186,52.7,6,21,218,0,24,85.2,69.1,82.1,,16.2,46.5,76.1,65,18,0,19,3,87,92,0,0,5,79,9,270,186,2.45,3.6,0.22,50,212,0,Memphis,2024
Chase Cunningham,Chase-Cunningham,https://premium.pff.com/api/v1/players?league=ncaa&id=78533,78533,QB,MIDDLE TN,12,64,8,2,13.4,34,0,185,0,0,7,116,19.5,9,16,224,7,42,58.5,62.9,73.9,65.6,,61.7,50.1,60.2,18,3,-1,1,1,325,68,12,1,65,6,253,148,1.95,3.3,-1,11,865,0,Middle Tennessee,2023
John Emery Jr.,John-Emery-Jr.,https://premium.pff.com/api/v1/players?league=ncaa&id=97403,97403,HB,LSU,11,76,18,4,27,100,0,370,1,5,18,244,83,9,19,211,4,21,27.3,62.8,82.8,,28.6,60.7,65,57.7,32,0,129,13,127,100,0,0,16,89,6,370,244,3.21,4.9,1.02,54,260,0,LSU,2023
Jonah Coleman,Jonah-Coleman,https://premium.pff.com/api/v1/players?league=ncaa&id=158717,158717,HB,ARIZONA,12,75,26,2,18,67,0,372,0,3,26,228,106.2,11,20,109,0,24,85.5,81.7,83.4,,57.4,59,86.7,59.7,43,0,24,8,104,84,0,0,19,83,4,372,228,3.04,5,0.23,49,222,0,Arizona,2026
Lopini Katoa,Lopini-Katoa,https://premium.pff.com/api/v1/players?league=ncaa&id=83641,83641,HB,BYU,10,75,17,4,26.5,86,0,325,0,4,17,198,65.2,7,21,128,1,13,68.2,63.6,84.6,,58,56.7,66.1,54.6,24,0,80,10,129,104,0,0,13,85,2,325,198,2.64,4.3,0.62,61,282,0,BYU,2023
Sam Hartman,Sam-Hartman,https://premium.pff.com/api/v1/players?league=ncaa&id=77618,77618,QB,WAKE,12,38,5,1,4.7,15,0,91,0,0,2,38,5.3,12,17,339,8,13,44.5,88.4,82.4,89.4,,,55.9,60.1,25,2,0,0,0,363,230,37,0,38,1,321,118,1.57,4.3,,8,898,2,Notre Dame,2024
Andrew Henry,Andrew-Henry,https://premium.pff.com/api/v1/players?league=ncaa&id=154703,154703,HB,LA MONROE,12,75,18,1,23.3,75,0,322,0,5,18,175,62.4,6,17,209,1,30,68.7,66.4,82.1,,19.2,70.7,70.6,55.4,75,0,92,11,91,98,0,0,12,86,4,322,175,2.33,4.3,1.01,43,252,2,New Mexico,2024
Robert Briggs,Robert-Briggs,https://premium.pff.com/api/v1/players?league=ncaa&id=163425,163425,HB,UTAH ST,10,75,20,5,26.5,93,0,351,0,1,20,199,68.8,9,16,329,1,43,68.4,74.1,16.7,,61.3,61.7,76.6,48.5,24,1,33,6,59,97,0,0,7,81,1,351,199,2.65,4.7,0.56,27,197,0,Utah State,2026
Maquel Haywood,Maquel-Haywood,https://premium.pff.com/api/v1/players?league=ncaa&id=144314,144314,HB,NAVY,12,74,22,8,35.8,171,0,477,1,1,22,214,81.1,18,23,237,0,35,85.7,76,52.4,37.9,73.9,60.6,85.6,60.7,44,1,137,8,84,361,0,0,20,82,0,477,214,2.89,6.4,1.63,15,455,2,Appalachian State,2025
Jaheim Bell,Jaheim-Bell,https://premium.pff.com/api/v1/players?league=ncaa&id=124225,124225,TE,S CAROLINA,12,74,13,1,7,18,1,257,2,11,13,177,58.6,5,19,289,1,38,68.3,76.4,10.1,,17.5,76.7,78.1,40,18,2,235,24,144,137,0,0,28,98,3,257,177,2.39,3.5,1.63,15,301,2,Florida State,2024
Robert Burns,Robert-Burns,https://premium.pff.com/api/v1/players?league=ncaa&id=57293,57293,FB,UCONN,13,74,24,7,47.9,179,0,374,0,0,24,282,115.8,9,23,146,0,17,85.2,76,86.6,,46.5,52.2,84.8,54.9,58,1,28,5,88,219,0,0,8,79,2,374,282,3.81,5.1,0.32,48,355,0,Connecticut,2023
Keshawn King,Keshawn-King,https://premium.pff.com/api/v1/players?league=ncaa&id=99612,99612,HB,VA TECH,9,73,19,9,53.1,234,1,441,2,7,19,238,91.1,11,15,337,2,28,54.7,67.5,18.8,,23.7,64.4,71.9,45.1,65,1,137,20,86,98,0,0,23,93,3,441,238,3.26,6,1.59,45,205,2,Western Michigan,2023
Keegan Jones,Keegan-Jones,https://premium.pff.com/api/v1/players?league=ncaa&id=100594,100594,HB,UCLA,12,73,16,4,25.9,83,0,321,1,4,16,164,47.8,11,18,324,0,34,85.1,71.9,83,,34.7,72.2,71.8,66.7,25,0,237,21,119,88,0,0,23,94,2,321,164,2.25,4.4,1.99,39,223,0,UCLA,2023
Kye Robichaux,Kye-Robichaux,https://premium.pff.com/api/v1/players?league=ncaa&id=145532,145532,HB,W KENTUCKY,8,73,17,9,51.2,254,0,496,0,2,17,254,76.9,13,24,346,1,52,65.1,75,83.4,,79,61.7,80.6,48,59,0,74,13,159,104,0,0,15,86,3,496,254,3.48,6.8,0.47,20,302,2,Boston College,2025
Christian Washington,Christian-Washington,https://premium.pff.com/api/v1/players?league=ncaa&id=163362,163362,HB,NEW MEXICO,9,73,22,1,9.5,30,0,315,1,2,22,210,82.2,7,16,241,3,43,54.3,75.7,83.3,,39.4,62.7,78,68.9,30,0,69,11,59,105,0,0,12,84,0,315,210,2.88,4.3,1.17,27,216,0,New Mexico,2026
Reggie Love III,Reggie-Love-III,https://premium.pff.com/api/v1/players?league=ncaa&id=129418,129418,HB,ILLINOIS,13,72,25,4,32.5,108,0,332,0,1,25,240,114,8,19,187,0,25,85,84.2,81.6,,62.8,58.8,84.8,68.7,33,0,16,4,52,82,0,0,4,76,2,332,240,3.33,4.6,0.31,46,168,0,Illinois,2025
Grayson James,Grayson-James,https://premium.pff.com/api/v1/players?league=ncaa&id=145214,145214,QB,FIU,11,54,15,2,16.3,51,0,202,0,0,9,120,37,9,18,166,5,16,69.1,64.2,67.2,60.4,,,69.1,60,28,2,0,0,0,231,111,18,0,54,3,313,183,2.54,4.3,,29,635,0,Florida International,2025
Jaiden Credle,Jaiden-Credle,https://premium.pff.com/api/v1/players?league=ncaa&id=158060,158060,HB,N ILLINOIS,6,72,12,1,19.1,55,0,288,0,0,12,174,40.3,3,13,254,1,33,67.1,67.3,82.1,,77.8,53.4,66.8,56.7,55,0,0,0,20,89,0,0,0,72,1,288,174,2.42,4,0,39,115,2,Middle Tennessee,2026
Vincent Terrell II,Vincent-Terrell-II,https://premium.pff.com/api/v1/players?league=ncaa&id=121872,121872,HB,NAVY,12,72,12,1,7.6,18,0,238,1,3,12,132,34,4,12,237,0,46,85.2,70.9,85.9,,95.4,68.5,69.6,66.7,18,0,221,9,111,401,0,0,19,81,2,238,132,1.83,3.3,1.99,13,522,0,Navy,2024
Cameron Ward,Cameron-Ward,https://premium.pff.com/api/v1/players?league=ncaa&id=133244,133244,QB,WASH STATE,13,32,11,1,5,17,0,59,0,0,2,39,7.4,15,26,341,9,12,45.4,59.9,66.8,58,,56.7,64.4,60.1,17,4,-13,1,1,270,282,39,1,33,5,341,169,2.38,4.8,-13,5,887,0,Washington State,2025
Jeff Sims,Jeff-Sims,https://premium.pff.com/api/v1/players?league=ncaa&id=122496,122496,QB,GA TECH,7,49,22,4,23.2,94,0,268,0,0,14,130,74.3,18,21,176,2,19,63.4,62,85.4,52,,57.5,74.3,60,42,0,1,1,2,187,137,22,1,50,1,405,234,3.3,5.7,0.5,17,425,2,Nebraska,2025
Juma Otoviano,Juma-Otoviano,https://premium.pff.com/api/v1/players?league=ncaa&id=75903,75903,HB,RICE,8,71,20,5,30,121,0,403,0,0,20,253,95,9,24,275,0,25,85.2,87.1,81.8,,25.7,60.6,91,57.4,33,0,67,4,67,84,0,0,4,75,1,403,253,3.56,5.7,1,46,184,0,Rice,2024
Velton Gardner,Velton-Gardner,https://premium.pff.com/api/v1/players?league=ncaa&id=97110,97110,HB,SMU,8,71,17,4,40.5,150,0,370,0,2,17,230,76.9,9,11,287,0,20,84.8,66.9,82.3,,35.4,61.3,69,57.1,49,0,26,9,65,82,0,0,10,80,1,370,230,3.24,5.2,0.4,51,184,0,SMU,2024
Cameron Rising,Cameron-Rising,https://premium.pff.com/api/v1/players?league=ncaa&id=77663,77663,QB,UTAH,13,38,21,5,19.5,102,0,228,0,0,7,130,61.4,20,40,328,1,13,75.3,79.1,73,72,,73.5,80.1,60.3,29,3,9,1,3,389,295,32,1,39,6,523,347,4.96,7.5,3,21,839,0,Utah,2024
Elijah Collins,Elijah-Collins,https://premium.pff.com/api/v1/players?league=ncaa&id=83705,83705,HB,MICH STATE,11,70,13,5,30.8,98,0,318,0,5,13,245,75,11,22,223,0,11,84.9,75,83.4,,48.2,68.4,78.5,56.6,31,0,93,14,109,87,0,0,16,84,6,318,245,3.5,4.5,0.85,59,253,2,Oklahoma State,2024
Jemel Jones,Jemel-Jones,https://premium.pff.com/api/v1/players?league=ncaa&id=102863,102863,QB,ARMY,8,70,13,4,41,146,0,356,0,0,13,156,41.4,7,19,114,2,17,68.1,65.6,82.2,43.2,,,73.7,60,75,0,0,0,0,178,0,0,0,70,7,356,156,2.23,5.1,,37,222,0,Army,2023
Kenan Christon,Kenan-Christon,https://premium.pff.com/api/v1/players?league=ncaa&id=100601,100601,HB,S DIEGO ST,13,70,15,6,62.4,161,0,258,1,6,15,133,50.5,7,10,284,0,41,67.6,66.3,18.8,,38.4,64.2,69.3,42,49,1,207,9,73,99,0,0,10,79,1,258,133,1.9,3.7,2.84,28,199,0,San Diego State,2024
Kaelon Black,Kaelon-Black,https://premium.pff.com/api/v1/players?league=ncaa&id=138448,138448,HB,JAMES MAD,9,70,13,5,28.1,98,0,349,0,4,13,257,72.6,14,21,197,1,20,68.9,73.7,82.2,,17.8,84.3,73.1,57.6,27,0,171,16,68,99,0,0,16,86,3,349,257,3.67,5,2.51,50,188,0,James Madison,2025
Rashod Dubinion,Rashod-Dubinion,https://premium.pff.com/api/v1/players?league=ncaa&id=157020,157020,HB,ARKANSAS,13,70,13,2,14.7,43,0,292,0,2,13,169,44.2,14,22,111,1,13,67.8,72.2,82.4,,87.3,74.5,70.3,59.1,26,0,108,12,75,108,0,0,13,82,5,292,169,2.41,4.2,1.44,54,200,0,Arkansas,2026
Dillon Gabriel,Dillon-Gabriel,https://premium.pff.com/api/v1/players?league=ncaa&id=86272,86272,QB,OKLAHOMA,12,47,9,4,27.2,113,0,221,0,0,7,75,23.3,19,27,261,5,18,69.7,87,74,81.8,62.2,87.9,77.2,60.3,61,3,13,1,1,409,194,22,1,48,6,415,135,1.96,6,13,13,865,0,Oklahoma,2024
Andrew Peasley,Andrew-Peasley,https://premium.pff.com/api/v1/players?league=ncaa&id=83581,83581,QB,WYOMING,12,48,18,3,18.8,89,0,241,0,0,5,62,13.5,15,22,351,7,13,51.2,56.1,88.5,43.6,,,82.5,60,61,2,0,0,0,378,232,21,0,48,2,473,168,2.43,6.9,,22,705,0,Wyoming,2024
Jaylen Jenkins,Jaylen-Jenkins,https://premium.pff.com/api/v1/players?league=ncaa&id=158512,158512,HB,WASH STATE,12,69,19,8,52.9,202,0,382,4,5,19,166,70.4,15,15,341,2,30,50.1,60,82.9,,12.8,41.4,69.1,57.5,41,0,98,13,156,77,0,0,20,82,1,382,166,2.41,5.5,0.63,37,250,0,Washington State,2026
Doug Brumfield,Doug-Brumfield,https://premium.pff.com/api/v1/players?league=ncaa&id=128348,128348,QB,UNLV,10,28,25,1,4,15,0,110,0,0,4,70,35.7,15,26,325,3,10,56.7,76.1,75.7,72.7,,60,69.5,60,29,1,0,0,0,224,262,40,0,28,6,372,312,4.59,5.5,,8,554,0,UNLV,2025
J.J. McCarthy,J.J.-McCarthy,https://premium.pff.com/api/v1/players?league=ncaa&id=144918,144918,QB,MICHIGAN,14,44,16,6,28.4,114,0,207,0,0,9,109,50.7,14,24,222,9,17,38.4,77.7,64.9,75.7,,47.5,68.2,60.1,39,4,0,0,4,477,194,24,0,44,5,401,164,2.41,5.9,0,12,861,0,Michigan,2025
Marco Lee,Marco-Lee,https://premium.pff.com/api/v1/players?league=ncaa&id=123355,123355,HB,S ALABAMA,12,68,15,2,20.1,50,0,249,0,0,15,184,59.7,5,19,288,0,24,84.8,75.5,80.2,,67.5,51.1,75,67.7,32,0,0,0,37,75,0,0,0,68,4,249,184,2.71,3.7,0,44,121,0,South Alabama,2024
Anthony Hankerson,Anthony-Hankerson,https://premium.pff.com/api/v1/players?league=ncaa&id=157691,157691,HB,COLORADO,8,68,13,1,8.4,23,0,274,0,1,13,153,43.2,7,17,143,1,24,66.1,77.8,80.7,,72.3,58.6,78.9,58.6,23,0,24,5,54,78,0,0,7,73,3,274,153,2.25,4,0.44,43,158,0,Colorado,2026
Branson Robinson,Branson-Robinson,https://premium.pff.com/api/v1/players?league=ncaa&id=163749,163749,HB,GEORGIA,12,68,11,5,30.9,102,0,330,0,1,11,199,50.9,10,17,173,1,36,65.5,78.1,79.8,,49.7,54.7,77.3,58.8,30,0,2,1,23,81,0,0,1,69,3,330,199,2.93,4.9,0.09,32,113,0,Georgia,2026
Marlon Gunn Jr.,Marlon-Gunn-Jr.,https://premium.pff.com/api/v1/players?league=ncaa&id=162642,162642,HB,E CAROLINA,10,68,15,5,41,141,0,344,1,3,15,245,79.1,9,16,156,0,6,84.6,72.4,81.7,,25.2,59.4,78.6,52.7,43,0,77,14,101,83,0,0,15,82,0,344,245,3.6,5.1,0.76,60,212,0,East Carolina,2026
Mike Wright,Mike-Wright,https://premium.pff.com/api/v1/players?league=ncaa&id=124366,124366,QB,VANDERBILT,10,53,6,6,48.1,248,0,420,0,0,5,97,16.9,13,21,333,6,13,41.1,54.8,85.5,46.5,,60,66.1,60.1,87,2,-11,1,0,245,96,15,1,54,5,516,113,1.66,7.6,,30,427,2,Mississippi State,2024
Jordan Travis,Jordan-Travis,https://premium.pff.com/api/v1/players?league=ncaa&id=77615,77615,QB,FLORIDA ST,13,44,28,5,30.8,164,0,315,0,0,10,90,45.5,22,36,167,7,24,57.7,91.7,89.2,90.1,,89,79.8,60.4,71,0,2,1,1,362,218,23,1,45,7,533,228,3.4,8,2,15,787,0,Florida State,2024
Devonte Lee,Devonte-Lee,https://premium.pff.com/api/v1/players?league=ncaa&id=83721,83721,HB,NEVADA,8,67,16,4,36,82,0,228,2,7,16,196,84.1,6,19,239,2,28,51.5,63.7,83.2,,53.9,58.7,66.1,51.7,32,0,101,13,91,90,0,0,15,80,5,228,196,2.93,3.4,1.11,37,201,0,Nevada,2023
Kurtis Rourke,Kurtis-Rourke,https://premium.pff.com/api/v1/players?league=ncaa&id=97998,97998,QB,OHIO,11,55,15,2,15.2,52,0,150,0,0,10,91,29.5,16,25,259,6,22,62.5,92,79.1,90.8,,89.7,76.4,60,61,2,17,1,1,300,191,12,1,56,4,341,166,2.48,5.1,17,19,700,0,Ohio,2024
Alex Fontenot,Alex-Fontenot,https://premium.pff.com/api/v1/players?league=ncaa&id=57186,57186,HB,COLORADO,6,66,18,6,50.5,157,0,311,1,1,18,215,86,6,16,143,1,29,65,77.4,81.3,,80.5,54.7,79.8,58.5,37,0,56,6,63,72,0,0,9,72,2,311,215,3.26,4.7,0.89,35,161,0,Colorado,2023
Hunter Dekkers,Hunter-Dekkers,https://premium.pff.com/api/v1/players?league=ncaa&id=122511,122511,QB,IOWA STATE,12,45,5,0,0,0,1,117,1,0,3,71,10.5,5,10,193,3,9,71.4,73.7,73.2,74.7,,30.8,56.8,60.1,28,3,0,0,1,316,150,21,1,45,2,267,129,1.95,4,0,26,845,0,Iowa State,2024
Justin Lynch,Justin-Lynch,https://premium.pff.com/api/v1/players?league=ncaa&id=144392,144392,QB,N ILLINOIS,9,63,8,4,39.7,115,0,272,0,0,7,160,28.2,9,20,254,3,39,49.8,62.6,82.7,56.5,,57.2,63,61.5,52,0,0,0,0,167,18,3,0,63,3,290,164,2.48,4.4,,21,201,0,Northern Illinois,2025
Rahjai Harris,Rahjai-Harris,https://premium.pff.com/api/v1/players?league=ncaa&id=123814,123814,HB,E CAROLINA,5,65,13,4,40.9,97,0,237,1,3,13,141,47.5,7,11,156,2,5,47,59.7,81.5,,80.4,60.2,58.2,57.7,41,0,59,8,85,74,0,0,12,73,5,237,141,2.17,3.6,0.69,57,191,0,East Carolina,2025
Ryan Montgomery,Ryan-Montgomery,https://premium.pff.com/api/v1/players?league=ncaa&id=101063,101063,HB,CINCINNATI,9,65,19,3,26.4,71,0,269,0,2,19,136,64.6,7,22,138,0,30,89.2,75.6,12.3,,29.8,60.3,80,65.4,39,1,69,3,89,76,0,0,3,68,5,269,136,2.09,4.1,0.78,35,185,0,Cincinnati,2024
Bryan Bradford,Bryan-Bradford,https://premium.pff.com/api/v1/players?league=ncaa&id=97436,97436,HB,KENT STATE,12,65,16,2,25.5,78,0,306,0,2,16,164,64.9,6,15,201,0,36,84.3,76.5,80.8,,53.2,62.5,77.7,66.2,58,0,42,5,52,77,0,0,6,70,2,306,164,2.52,4.7,0.81,27,163,1,#N/A,#N/A
Darius Bracy,Darius-Bracy,https://premium.pff.com/api/v1/players?league=ncaa&id=55048,55048,HB,MIDDLE TN,11,65,17,2,26.8,70,0,261,1,8,17,155,73.6,6,15,224,1,19,66.4,68,83,,42.7,60.2,72.4,51.8,53,0,92,16,107,88,0,0,20,81,4,261,155,2.38,4,0.86,44,221,0,Middle Tennessee,2023
Tyler Shough,Tyler-Shough,https://premium.pff.com/api/v1/players?league=ncaa&id=83537,83537,QB,TEXAS TECH,7,39,16,2,16.9,53,1,133,0,0,6,93,36.7,7,26,315,3,25,70.1,74,85.3,67.6,,56.8,72.7,60.5,36,1,0,0,2,180,180,25,0,39,4,313,197,3.08,4.9,0,9,404,0,Texas Tech,2024
Blake Shapen,Blake-Shapen,https://premium.pff.com/api/v1/players?league=ncaa&id=122282,122282,QB,BAYLOR,13,32,6,1,16.6,35,0,58,0,0,2,37,7.2,3,10,118,5,2,61,76.8,89.6,79.3,,50.6,51.3,60,35,0,0,0,2,444,153,32,0,32,2,211,85,1.33,3.3,0,11,884,0,Baylor,2025
Isaac Guerendo,Isaac-Guerendo,https://premium.pff.com/api/v1/players?league=ncaa&id=83806,83806,HB,WISCONSIN,12,64,14,4,49.4,190,0,385,2,1,14,216,62.5,7,15,349,1,42,70.5,71.2,83.5,,22.9,65.4,75.2,58.4,89,0,115,17,102,77,0,0,21,81,5,385,216,3.38,6,1.13,20,204,2,Louisville,2024
Nathan Carter,Nathan-Carter,https://premium.pff.com/api/v1/players?league=ncaa&id=147376,147376,HB,UCONN,4,64,22,5,36.9,150,0,406,1,0,22,238,118.6,14,22,146,1,28,64.6,79.6,82.1,,57.8,51.3,82.1,57.1,52,0,39,5,44,78,0,0,8,69,1,406,238,3.72,6.3,0.89,36,137,2,Michigan State,2025
Maurice Turner,Maurice-Turner,https://premium.pff.com/api/v1/players?league=ncaa&id=156329,156329,HB,LOUISVILLE,7,63,15,2,24.2,75,0,310,2,3,15,189,72,7,14,210,1,14,65.5,66.2,82.4,,0.8,54.4,72.6,56.2,48,0,72,12,47,74,0,0,16,75,0,310,189,3,4.9,1.53,49,140,0,Louisville,2026
Nate Cox,Nate-Cox,https://premium.pff.com/api/v1/players?league=ncaa&id=60432,60432,QB,NEVADA,12,49,5,3,16.7,54,0,215,0,0,4,70,11.7,14,21,239,11,23,28.7,56.3,75,56.2,,57.5,56.8,60,21,1,0,0,2,249,108,14,0,49,3,323,114,1.81,5.1,0,17,551,0,Nevada,2023
Dre'lyn Washington,Dre'lyn-Washington,https://premium.pff.com/api/v1/players?league=ncaa&id=147143,147143,HB,LA LAFAYET,10,63,20,3,25.2,89,0,353,0,0,20,250,118.5,12,19,207,2,16,44.3,81.5,0,,69.1,70.9,80.7,59.5,54,1,23,4,41,73,0,0,5,67,2,353,250,3.97,5.6,0.56,47,126,0,Louisiana,2025
Jarek Broussard,Jarek-Broussard,https://premium.pff.com/api/v1/players?league=ncaa&id=83656,83656,HB,MICH STATE,11,63,21,1,5.7,17,0,298,0,1,21,205,106.8,8,16,223,0,16,84.3,79,82.3,,72.4,51.5,81.3,47.9,17,0,48,4,48,72,0,0,4,67,3,298,205,3.25,4.7,1,47,145,0,Michigan State,2023
Camar Wheaton,Camar-Wheaton,https://premium.pff.com/api/v1/players?league=ncaa&id=146592,146592,HB,SMU,10,63,12,7,40.5,132,0,326,1,0,12,200,55.2,9,16,287,0,18,83.9,68.8,80.6,,38.9,52.9,71.4,48.3,26,0,32,6,41,70,0,0,7,69,2,326,200,3.17,5.2,0.78,44,129,0,SMU,2026
Dawaiian McNeely,Dawaiian-McNeely,https://premium.pff.com/api/v1/players?league=ncaa&id=97815,97815,HB,WYOMING,10,63,7,5,38.2,136,0,356,0,0,7,218,38.4,9,18,351,1,9,64.1,70.6,81.1,,16.8,53.8,70.7,58.6,61,0,0,0,18,74,0,0,0,63,1,356,218,3.46,5.7,0,54,97,0,Wyoming,2025
Juju McDowell,Juju-McDowell,https://premium.pff.com/api/v1/players?league=ncaa&id=146909,146909,HB,S CAROLINA,13,62,14,1,12.7,27,0,213,0,2,14,158,47.4,6,15,289,1,37,67.7,64.7,29.2,,39.6,69.6,67,39.1,27,1,205,24,134,86,0,0,28,86,2,213,158,2.55,3.4,1.53,24,270,0,South Carolina,2025
Bert Emanuel Jr.,Bert-Emanuel-Jr.,https://premium.pff.com/api/v1/players?league=ncaa&id=158581,158581,QB,C MICHIGAN,4,55,17,9,65.5,350,0,495,0,0,16,278,147,14,20,134,2,27,44.3,75.3,78.2,28.4,,54.3,79.7,60,87,1,0,0,1,70,39,6,0,55,7,534,297,4.87,8.8,0,20,93,0,Central Michigan,2026
Ollie Gordon,Ollie-Gordon,https://premium.pff.com/api/v1/players?league=ncaa&id=157792,157792,HB,OKLA STATE,13,61,16,5,43.6,133,0,305,1,4,16,184,82.6,8,13,262,1,10,64.8,69,19.1,60,57,69.8,72.6,39,53,1,76,12,100,74,0,0,15,73,2,305,184,3.02,5,0.76,50,213,0,Oklahoma State,2026
Donovan Smith,Donovan-Smith,https://premium.pff.com/api/v1/players?league=ncaa&id=73929,73929,QB,TEXAS TECH,12,45,12,0,0,0,0,110,0,0,9,75,32.6,4,22,315,4,23,55.1,68.5,57.7,65.4,,71.2,65.8,61.2,27,2,15,1,5,155,105,15,1,46,7,215,106,1.77,3.6,3,9,424,2,Houston,2025
Austin Smith,Austin-Smith,https://premium.pff.com/api/v1/players?league=ncaa&id=145763,145763,QB,E MICHIGAN,9,48,11,6,37.2,112,0,208,0,0,8,137,47.6,14,17,160,5,25,44.4,65.5,68.5,62.7,,50,64.9,60.1,29,2,0,0,4,197,93,12,0,48,2,301,163,2.72,5,0,7,356,0,Eastern Michigan,2025
D.J. Williams,D.J.-Williams,https://premium.pff.com/api/v1/players?league=ncaa&id=99154,99154,HB,ARIZONA,12,59,21,6,39.5,145,0,357,4,0,21,191,106.2,14,21,109,0,22,83.5,75,82.4,,23.8,32.8,86.7,59.4,52,0,65,5,66,62,0,0,10,64,3,367,191,3.24,6.2,0.98,36,159,0,Arizona,2023
