"Sportsbook","Team","OverTotal","OverOdds","UnderTotal","UnderOdds","Date"
"Fanduel","UL Monroe","2.5","-115","2.5","-115","2022-09-01"
"Fanduel","Marshall","7.5","+100","7.5","+100","2022-09-01"
"Fanduel","Old Dominion","4.5","+110","4.5","+110","2022-09-01"
"Fanduel","South Alabama","5.5","-135","5.5","-135","2022-09-01"
"Fanduel","Southern Mississippi","5.5","-105","5.5","-105","2022-09-01"
"Fanduel","Texas State","4.5","-145","4.5","-145","2022-09-01"
"Fanduel","Troy","6.5","-110","6.5","-110","2022-09-01"
"Fanduel","Coastal Carolina","8","+110","8","+110","2022-09-01"
"Fanduel","Colorado State","5.5","-155","5.5","-155","2022-09-01"
"Fanduel","Air Force","8.5","-140","8.5","-140","2022-09-01"
"Fanduel","Boise State","9","-105","9","-105","2022-09-01"
"Fanduel","New Mexico","2.5","-135","2.5","-135","2022-09-01"
"Fanduel","San Diego State","7.5","-115","7.5","-115","2022-09-01"
"Fanduel","Fresno State","9","-110","9","-110","2022-09-01"
"Fanduel","San Jose State","6.5","+110","6.5","+110","2022-09-01"
"Fanduel","Army","8.5","+120","8.5","+120","2022-09-01"
"Fanduel","Liberty","7.5","+100","7.5","+100","2022-09-01"
"Fanduel","UMass","2.5","+105","2.5","+105","2022-09-01"
"Fanduel","BYU","8.5","-105","8.5","-105","2022-09-01"
