Team,Conf,Div,Net RP,2021 Off Adjust,2021 Def Adj,RP Offense,Pass Yds,Rec Yds,OL Snaps,Rush Yds,RP Defense,Tackles,Pass Def,Pressure,Stops
Western Kentucky,CUS,E,-7.5,-4,-3.5,43%,34.34%,38.46%,55.09%,65.00%,46%,47.26%,52.38%,26.24%,42.78%
Louisiana Tech,CUS,W,0,0,0,54%,26.22%,76.00%,65.05%,32.12%,64%,62.87%,57.14%,88.89%,65.82%
North Texas,CUS,W,2.5,5.5,-3,81%,100.00%,80.17%,62.31%,62.24%,50%,46.28%,51.72%,60.49%,48.74%
Rice,CUS,W,-0.5,-1,0.5,50%,36.40%,62.13%,51.73%,54.82%,66%,66.82%,71.79%,53.62%,62.74%
Southern Miss,CUS,W,6,5.5,0.5,80%,100.00%,73.32%,60.51%,88.90%,65%,64.03%,78.95%,41.77%,53.40%
UAB,CUS,W,-12,-7,-5,19%,1.52%,29.63%,10.51%,87.20%,19%,16.07%,30.36%,4.15%,14.15%
UTEP,CUS,W,2.5,3,-0.5,67%,100.00%,42.78%,64.25%,40.40%,60%,55.42%,60.53%,70.22%,61.06%
UTSA,CUS,W,-10.5,-6,-4.5,37%,4.93%,87.03%,25.10%,2.66%,41%,46.44%,37.84%,31.28%,40.73%
Army,IND,,-2,-1,-1,49%,17.43%,79.84%,47.86%,60.15%,59%,49.39%,78.38%,52.06%,47.78%
BYU,IND,,11,6,5,84%,99.02%,70.43%,90.91%,46.41%,88%,93.99%,76.47%,88.13%,96.05%
Liberty,IND,,-4.5,-2.5,-2,47%,23.63%,64.00%,55.67%,39.29%,54%,49.02%,57.14%,68.52%,51.46%
New Mexico State,IND,,-6,-7,1,28%,1.35%,41.93%,29.73%,77.05%,68%,63.88%,70.00%,71.97%,70.54%
Notre Dame,IND,,-8,-7,-1,34%,14.22%,43.46%,43.24%,43.69%,58%,62.95%,51.22%,57.85%,60.00%
UConn,IND,,9,6.5,2.5,87%,94.91%,83.76%,80.77%,94.59%,74%,72.34%,79.31%,68.57%,73.17%
UMass,IND,,8,3,5,68%,78.51%,40.63%,97.63%,38.87%,87%,87.91%,85.00%,87.18%,89.84%
Akron,MAC,E,9.5,6.5,3,85%,66.77%,88.54%,100.00%,89.97%,78%,78.55%,78.26%,73.20%,80.62%
Bowling Green,MAC,E,3,2,1,59%,0.89%,92.23%,82.09%,81.51%,67%,69.94%,56.76%,79.66%,73.45%
Buffalo,MAC,E,0,3,-3,67%,98.23%,47.28%,53.41%,62.47%,49%,48.77%,40.91%,65.64%,52.86%
Kent State,MAC,E,-12,-7,-5,26%,5.46%,55.73%,10.60%,47.05%,24%,26.28%,8.33%,51.72%,32.03%
Miami Ohio,MAC,E,2,3.5,-1.5,69%,99.25%,24.16%,78.53%,97.47%,57%,57.38%,56.25%,58.17%,59.45%
Ohio,MAC,E,-8,-3,-5,45%,82.46%,14.10%,44.27%,22.10%,27%,21.67%,36.36%,17.48%,24.48%
Ball State,MAC,W,-12,-7,-5,32%,0.96%,39.50%,56.78%,53.45%,25%,25.40%,19.35%,37.50%,29.60%
Central Michigan,MAC,W,4.5,4,0.5,73%,99.85%,45.29%,66.96%,96.90%,66%,65.12%,68.57%,61.62%,67.09%
Eastern Michigan,MAC,W,11,7,4,93%,100.00%,96.06%,79.81%,100.00%,82%,84.68%,73.33%,93.13%,85.39%
Northern Illinois,MAC,W,4,-1,5,50%,25.33%,46.58%,80.64%,63.35%,88%,84.18%,100.00%,84.06%,78.70%
Toledo,MAC,W,7,5,2,77%,100.00%,71.61%,63.06%,52.10%,73%,80.31%,55.88%,85.64%,80.56%
Western Michigan,MAC,W,-11.5,-7,-4.5,24%,0.61%,38.22%,22.51%,74.97%,42%,47.68%,29.41%,48.62%,48.40%
Air Force,MW,M,1.5,3.5,-2,70%,95.33%,46.62%,61.18%,94.02%,54%,58.59%,50.00%,44.10%,56.08%
Boise State,MW,M,-7.5,-2.5,-5,47%,100.00%,7.63%,27.92%,53.00%,37%,32.92%,51.28%,16.31%,29.04%
Colorado State,MW,M,-4,1,-5,56%,90.32%,53.92%,23.65%,27.26%,29%,29.81%,33.33%,17.67%,27.20%
New Mexico,MW,M,-11.5,-7,-4.5,33%,15.11%,57.30%,25.31%,39.53%,43%,48.13%,32.35%,42.61%,49.83%
Utah State,MW,M,0,2,-2,60%,99.30%,22.86%,47.84%,99.01%,53%,50.15%,62.86%,45.76%,46.03%
Wyoming,MW,M,6,5.5,0.5,81%,100.00%,68.82%,71.15%,91.95%,65%,59.14%,76.92%,63.53%,58.09%
Fresno State,MW,W,1,3,-2,66%,100.00%,50.77%,56.62%,19.29%,54%,56.01%,59.32%,29.63%,52.60%
Hawai'i,MW,W,-3,2,-5,60%,100.00%,29.61%,43.95%,79.73%,40%,36.84%,44.44%,45.61%,34.29%
Nevada,MW,W,-12,-7,-5,9%,0.00%,17.69%,13.06%,1.60%,21%,24.62%,22.22%,5.21%,17.62%
San Diego State,MW,W,-4.5,0,-4.5,53%,71.08%,43.14%,48.14%,30.89%,43%,46.69%,49.25%,15.77%,36.27%
San Jose State,MW,W,2.5,3,-0.5,65%,69.76%,76.29%,47.04%,62.81%,60%,68.47%,42.11%,67.61%,70.82%
UNLV,MW,W,4.5,5,-0.5,79%,100.00%,77.53%,72.35%,18.25%,60%,52.85%,75.00%,44.35%,55.69%
California,P12,N,-10,-7,-3,31%,24.63%,26.85%,38.17%,51.72%,50%,47.21%,61.90%,30.00%,45.15%
Oregon,P12,N,1,2,-1,60%,44.72%,56.00%,85.35%,60.13%,58%,64.14%,44.74%,66.54%,65.38%
Oregon State,P12,N,-2.5,2.5,-5,62%,95.18%,49.48%,42.20%,45.03%,37%,34.48%,47.92%,26.67%,29.97%
Stanford,P12,N,2,7,-5,89%,91.98%,78.54%,100.00%,84.13%,12%,10.83%,14.29%,9.41%,11.11%
Washington,P12,N,3.5,5.5,-2,81%,99.97%,81.61%,64.34%,46.16%,55%,60.05%,41.38%,70.00%,62.50%
Washington State,P12,N,-12,-7,-5,34%,39.72%,37.68%,31.91%,0.00%,26%,27.79%,22.22%,24.34%,27.45%
Arizona,P12,S,4,4.5,-0.5,76%,100.00%,70.68%,50.42%,89.63%,61%,54.03%,81.48%,44.52%,46.00%
Arizona State,P12,S,-1,4,-5,72%,100.00%,62.57%,50.32%,69.59%,13%,12.69%,8.89%,25.29%,15.45%
Colorado,P12,S,2,7,-5,94%,100.00%,97.95%,81.16%,99.68%,33%,25.98%,46.67%,25.17%,26.64%
UCLA,P12,S,-3,2,-5,59%,100.00%,41.81%,27.64%,71.55%,27%,27.65%,27.03%,26.81%,27.55%
USC,P12,S,-2,3,-5,68%,100.00%,63.50%,47.19%,23.22%,38%,30.57%,48.28%,44.44%,31.20%
Utah,P12,S,2.5,4,-1.5,71%,100.00%,50.00%,62.29%,73.97%,57%,52.47%,72.09%,41.30%,49.59%
