"","week","home_team","home_conference","away_team","away_conference","TAN_Proj_Spread","home_points","away_points","Home_TAN23","Home_SP","HFACW","Away_TAN","Away_SP","TANSpread","TANFAV"
"659",2,"Arkansas State","Sun Belt","Memphis","American Athletic","Memphis -5.3",3,37,64.5,-7.5,2.65,72.5,2.8,-5.3,"Memphis"
"660",2,"Georgia State","Sun Belt","Connecticut","FBS Independents","NA NA",35,14,63,-9.4,2.068,NA,NA,NA,NA
"661",2,"Texas Tech","Big 12","Oregon","Pac-12","Oregon -14.5",30,38,78,3.7,3.046,95.5,25,-14.5,"Oregon"
"662",2,"Coastal Carolina","Sun Belt","Jacksonville State","Conference USA","Jacksonville State -1",30,16,63,-2.9,2.044,66,-0.7,-1,"Jacksonville State"
"663",2,"Missouri","SEC","Middle Tennessee","Conference USA","Missouri -31.4",23,19,88.5,17.8,2.852,60,-9.4,-31.4,"Missouri"
"664",2,"South Carolina","SEC","Furman","Southern","South Carolina -29.6",47,21,77,3.4,2.14,49.5,-21,-29.6,"South Carolina"
"665",2,"Florida","SEC","McNeese","Southland","Florida -35",49,7,79.5,5.9,2.5,47,-23.5,-35,"Florida"
"666",2,"LSU","SEC","Grambling","SWAC","NA NA",72,10,90.5,18.7,3.314,NA,NA,NA,NA
"667",2,"Minnesota","Big Ten","Eastern Michigan","Mid-American","Minnesota -14.4",25,6,69.5,-1.3,2.938,58,-9.6,-14.4,"Minnesota"
"668",2,"Mississippi State","SEC","Arizona","Pac-12","Arizona -7.1",31,24,76,-0.4,2.876,86,12.1,-7.1,"Arizona"
"669",2,"Rutgers","Big Ten","Temple","American Athletic","Rutgers -20.7",36,7,73,2.3,1.654,54,-21.8,-20.7,"Rutgers"
"670",2,"Washington State","Pac-12","Wisconsin","Big Ten","Washington State -4.8",31,22,79.5,4.6,3.292,78,9.9,-4.8,"Washington State"
"671",2,"San Diego State","Mountain West","UCLA","Pac-12","UCLA -15.9",10,35,63.5,-10.5,2.12,81.5,7.9,-15.9,"UCLA"
"672",2,"Maryland","Big Ten","Charlotte","American Athletic","Maryland -25.9",38,20,79,9.2,2.364,55.5,-22.1,-25.9,"Maryland"
"673",2,"Texas A&M-Kingsville","Lone Star","West Georgia","Gulf South","NA NA",20,17,NA,NA,NA,NA,NA,NA,NA
"674",2,"West Texas A&M","Lone Star","Adams State","Rocky Mountain","NA NA",28,7,NA,NA,NA,NA,NA,NA,NA
"675",2,"Louisiana Monroe","Sun Belt","Lamar","Southland","NA NA",24,14,NA,NA,NA,30,-40.5,NA,NA
"676",2,"Utah State","Mountain West","Idaho State","Big Sky","Utah State -24.5",78,28,61,-8.5,2.512,39,-31.5,-24.5,"Utah State"
"677",2,"TCU","Big 12","Nicholls","Southland","TCU -28.6",41,6,80,7.5,2.1,53.5,-17,-28.6,"TCU"
"678",2,"Midwestern State","Lone Star","Mississippi College","Gulf South","NA NA",30,17,NA,NA,NA,NA,NA,NA,NA
"679",2,"Southwestern University","Southern Athletic","Texas Lutheran","American Southwest","NA NA",7,39,NA,NA,NA,NA,NA,NA,NA
"680",2,"Harding","Great American","Oklahoma Baptist","Great American","NA NA",49,10,NA,NA,NA,NA,NA,NA,NA
"681",2,"Nebraska-Kearney","Mid America","Northeastern State","Mid America","NA NA",31,17,NA,NA,NA,NA,NA,NA,NA
"682",2,"East Texas Baptist","American Southwest","Hendrix College","Southern Athletic","NA NA",38,37,NA,NA,NA,NA,NA,NA,NA
"683",2,"Sam Houston State","Conference USA","Air Force","Mountain West","NA NA",3,13,NA,NA,NA,72,5.2,NA,NA
"684",2,"New Mexico","Mountain West","Tennessee Tech","Big South-OVC","New Mexico -26.1",56,10,57,-16.8,0.616,31.5,-39,-26.1,"New Mexico"
"685",2,"Florida State","ACC","Southern Mississippi","Sun Belt","NA NA",66,13,85.5,23.7,2.158,NA,NA,NA,NA
"686",2,"Fresno State","Mountain West","Eastern Washington","Big Sky","Fresno State -7.2",34,31,69.5,0.5,2.716,65,-5.5,-7.2,"Fresno State"
"687",2,"Oregon State","Pac-12","UC Davis","Big Sky","Oregon State -34",55,7,85,14.7,3.012,54,-16.5,-34,"Oregon State"
"688",2,"Arizona Christian",NA,"Fort Lewis","Rocky Mountain","NA NA",49,25,NA,NA,NA,NA,NA,NA,NA
"689",2,"Utah Tech","UAC","Montana","Big Sky","NA NA",13,43,NA,NA,NA,65.5,-5,NA,NA
"690",2,"Sacramento State","Big Sky","Texas A&M-Commerce","Southland","NA NA",34,6,60.5,-10,1,NA,NA,NA,NA
"691",2,"California","Pac-12","Auburn","SEC","Auburn -2.4",10,14,76,1.1,2.578,81,8.1,-2.4,"Auburn"
"692",2,"Arizona State","Pac-12","Oklahoma State","Big 12","Oklahoma State -9.9",15,27,65,-11.9,2.558,77.5,5.9,-9.9,"Oklahoma State"
"693",2,"USC","Pac-12","Stanford","Pac-12","USC -24.7",56,10,83.5,7.9,2.698,61.5,-12.3,-24.7,"USC"
"694",2,"Hawai'i","Mountain West","Albany","CAA","Hawai'i -18.6",31,20,56.5,-16.7,2.052,40,-30.5,-18.6,"Hawai'i"
"695",3,"Memphis","American Athletic","Navy","American Athletic","Memphis -13.6",28,24,72.5,2.8,2.62,61.5,-13.9,-13.6,"Memphis"
"696",3,"Miami","ACC","Bethune-Cookman","SWAC","Miami -51.2",48,7,80,11.7,1.7,30.5,-40,-51.2,"Miami"
"697",3,"Union","Liberty League","Springfield","NEWMAC","NA NA",34,7,NA,NA,NA,NA,NA,NA,NA
"698",3,"UT San Antonio","American Athletic","Army","FBS Independents","NA NA",29,37,NA,NA,NA,60.5,-5.2,NA,NA
"699",3,"Western Connecticut State","MSCAC","Westfield State","MSCAC","NA NA",42,0,NA,NA,NA,NA,NA,NA,NA
"700",3,"Maryland","Big Ten","Virginia","ACC","Maryland -11.9",42,14,79,9.2,2.364,69.5,-10.3,-11.9,"Maryland"
"701",3,"Air Force","Mountain West","Utah State","Mountain West","Air Force -14",39,21,72,5.2,3.042,61,-8.5,-14,"Air Force"
"702",3,"Iowa Wesleyan",NA,"Westminster","Upper Midwest","NA NA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"703",3,"Framingham State","MSCAC","UMass Dartmouth","MSCAC","NA NA",7,33,NA,NA,NA,NA,NA,NA,NA
"704",3,"Ohio","Mid-American","Iowa State","Big 12","Iowa State -10.5",10,7,68,-2.2,2.994,81.5,8.6,-10.5,"Iowa State"
"705",3,"Old Dominion","Sun Belt","Wake Forest","ACC","Wake Forest -2.9",24,27,63,-10.2,1.564,67.5,-7.5,-2.9,"Wake Forest"
"706",3,"Boston College","ACC","Florida State","ACC","Florida State -16.7",29,31,66,-4.9,2.812,85.5,23.7,-16.7,"Florida State"
"707",3,"Mississippi State","SEC","LSU","SEC","LSU -11.6",14,41,76,-0.4,2.876,90.5,18.7,-11.6,"LSU"
"708",3,"Indiana","Big Ten","Louisville","ACC","Louisville -12.4",14,21,68.5,-7.4,2.112,83,10.8,-12.4,"Louisville"
"709",3,"Illinois","Big Ten","Penn State","Big Ten","Penn State -14.2",13,30,73,-2.6,2.308,89.5,26,-14.2,"Penn State"
"710",3,"SUNY Maritime","NEWMAC","Endicott College","Commonwealth Coast","NA NA",0,27,NA,NA,NA,NA,NA,NA,NA
"711",3,"Dean College","ECFC","Buffalo State","Liberty League","NA NA",7,41,NA,NA,NA,NA,NA,NA,NA
"712",3,"Salve Regina","Commonwealth Coast","Rochester","Liberty League","NA NA",10,17,NA,NA,NA,NA,NA,NA,NA
"713",3,"Pace","Northeast 10","Franklin Pierce","Northeast 10","NA NA",2,41,NA,NA,NA,NA,NA,NA,NA
"714",3,"Worcester State College","MSCAC","Fitchburg State","MSCAC","NA NA",33,13,NA,NA,NA,NA,NA,NA,NA
"715",3,"Bridgewater State","MSCAC","Plymouth State","MSCAC","NA NA",41,19,NA,NA,NA,NA,NA,NA,NA
"716",3,"Wilkes","Landmark Conference","Brockport State (NY)","Empire 8","NA NA",7,31,NA,NA,NA,NA,NA,NA,NA
"717",3,"Keystone","Landmark Conference","St. John Fisher","Empire 8","NA NA",20,35,NA,NA,NA,NA,NA,NA,NA
"718",3,"Ferrum","Old Dominion","LaGrange College","USA South","NA NA",13,10,NA,NA,NA,NA,NA,NA,NA
"719",3,"Albion","Michigan","Rose-Hulman","Heartland","NA NA",48,19,NA,NA,NA,NA,NA,NA,NA
"720",3,"Baylor","Big 12","Long Island University","NEC","NA NA",30,7,66,-8.8,3.458,NA,NA,NA,NA
"721",3,"Kent State","Mid-American","Central Connecticut","NEC","Kent State -25.9",38,10,44,-26.4,1.86,20,-19,-25.9,"Kent State"
"722",3,"Lehigh","Patriot","Cornell","Ivy","NA NA",20,23,NA,NA,NA,NA,NA,NA,NA
"723",3,"West Chester","Pennsylvania State Athletic","Gannon","Pennsylvania State Athletic","NA NA",38,31,NA,NA,NA,NA,NA,NA,NA
"724",3,"UNC Pembroke","Mountain East","Charleston (WV)","Mountain East","NA NA",29,37,NA,NA,NA,NA,NA,NA,NA
"725",3,"Yale","Ivy","Holy Cross","Patriot","Holy Cross -1",24,49,49.5,-21,1,51.5,-19,-1,"Holy Cross"
"726",3,"Shorter","Gulf South","Chowan","Gulf South","NA NA",57,20,NA,NA,NA,NA,NA,NA,NA
"727",3,"Limestone","South Atlantic","Carson-Newman","South Atlantic","NA NA",45,14,NA,NA,NA,NA,NA,NA,NA
"728",3,"Morrisville State","Empire 8","Catholic University","Landmark Conference","NA NA",20,31,NA,NA,NA,NA,NA,NA,NA
"729",3,"SUNY Cortland","Empire 8","Susquehanna","Landmark Conference","NA NA",35,38,NA,NA,NA,NA,NA,NA,NA
"730",3,"Coast Guard","NEWMAC","Nichols","Commonwealth Coast","NA NA",49,42,NA,NA,NA,NA,NA,NA,NA
"731",3,"Hamilton","NESCAC","Bowdoin","NESCAC","NA NA",12,26,NA,NA,NA,NA,NA,NA,NA
"732",3,"Missouri","SEC","Kansas State","Big 12","Missouri -3.4",30,27,88.5,17.8,2.852,88,15.4,-3.4,"Missouri"
"733",3,"Glenville State","Mountain East","Notre Dame College","Mountain East","NA NA",24,21,NA,NA,NA,NA,NA,NA,NA
"734",3,"Lycoming","Landmark Conference","Utica","Empire 8","NA NA",35,38,NA,NA,NA,NA,NA,NA,NA
"735",3,"California (PA)","Pennsylvania State Athletic","Shepherd","Pennsylvania State Athletic","NA NA",34,44,NA,NA,NA,NA,NA,NA,NA
"736",3,"FDU-Florham","Mid Atlantic","Stevenson","Mid Atlantic","NA NA",21,24,NA,NA,NA,NA,NA,NA,NA
"737",3,"Wisconsin","Big Ten","Georgia Southern","Sun Belt","Wisconsin -17.4",35,14,78,9.9,2.442,63,-4.4,-17.4,"Wisconsin"
"738",3,"Buffalo","Mid-American","Liberty","Conference USA","Liberty -16.7",27,55,55.5,-15.1,3.762,76,11.8,-16.7,"Liberty"
"739",3,"Boise State","Mountain West","North Dakota","MVFC","Boise State -20.2",42,18,77,7.4,2.244,59,-11.5,-20.2,"Boise State"
"740",3,"Gallaudet","ECFC","University of New England","Commonwealth Coast","NA NA",10,31,NA,NA,NA,NA,NA,NA,NA
"741",3,"Alfred State College","ECFC","Husson","Commonwealth Coast","NA NA",13,31,NA,NA,NA,NA,NA,NA,NA
"742",3,"Kutztown","Pennsylvania State Athletic","Mercyhurst","Pennsylvania State Athletic","NA NA",47,14,NA,NA,NA,NA,NA,NA,NA
"743",3,"Georgetown","Patriot","Stonehill","NEC","NA NA",20,23,NA,NA,NA,NA,NA,NA,NA
"744",3,"Lafayette","Patriot","Columbia","Ivy","NA NA",24,3,32.5,-38,1,NA,NA,NA,NA
"745",3,"King's College (PA)","Mid Atlantic","Albright","Mid Atlantic","NA NA",56,0,NA,NA,NA,NA,NA,NA,NA
"746",3,"Williams","NESCAC","Colby","NESCAC","NA NA",25,22,NA,NA,NA,NA,NA,NA,NA
"747",3,"New Haven","Northeast 10","Southern Connecticut State","Northeast 10","NA NA",34,7,NA,NA,NA,NA,NA,NA,NA
"748",3,"Rhodes","Southern Athletic","Centre","Southern Athletic","NA NA",26,28,NA,NA,NA,NA,NA,NA,NA
"749",3,"Washington & Jefferson","Presidents'","Westminster PA","Presidents'","NA NA",48,3,NA,NA,NA,NA,NA,NA,NA
"750",3,"Carnegie Mellon","Presidents'","Waynesburg","Presidents'","NA NA",41,10,NA,NA,NA,NA,NA,NA,NA
"751",3,"Shenandoah","Old Dominion","Maryville TN","USA South","NA NA",20,27,NA,NA,NA,NA,NA,NA,NA
"752",3,"Bates College","NESCAC","Wesleyan","NESCAC","NA NA",17,28,NA,NA,NA,NA,NA,NA,NA
"753",3,"Oberlin","North Coast","Denison","North Coast","NA NA",0,70,NA,NA,NA,NA,NA,NA,NA
"754",3,"Lebanon Valley","Mid Atlantic","Misericordia","Mid Atlantic","NA NA",31,3,NA,NA,NA,NA,NA,NA,NA
"755",3,"Moravian","Landmark Conference","Apprentice School","Independent DIII","NA NA",29,28,NA,NA,NA,NA,NA,NA,NA
"756",3,"Trine","Michigan","Franklin","Heartland","NA NA",58,43,NA,NA,NA,NA,NA,NA,NA
"757",3,"Kalamazoo","Michigan","Defiance","Heartland","NA NA",42,35,NA,NA,NA,NA,NA,NA,NA
"758",3,"Castleton State College","ECFC","Norwich","NEWMAC","NA NA",14,28,NA,NA,NA,NA,NA,NA,NA
"759",3,"Washington & Lee","Old Dominion","Methodist","USA South","NA NA",54,14,NA,NA,NA,NA,NA,NA,NA
"760",3,"Huntingdon","USA South","Guilford","Old Dominion","NA NA",40,14,NA,NA,NA,NA,NA,NA,NA
"761",3,"Greensboro","USA South","Hampden-Sydney","Old Dominion","NA NA",28,58,NA,NA,NA,NA,NA,NA,NA
"762",3,"Dayton","Pioneer","Taylor",NA,"NA NA",52,20,NA,NA,NA,NA,NA,NA,NA
"763",3,"Mary Hardin-Baylor","American Southwest","UW-Whitewater","Wisconsin","NA NA",14,17,NA,NA,NA,NA,NA,NA,NA
"764",3,"Sul Ross State","American Southwest","Wayland Baptist",NA,"NA NA",27,7,NA,NA,NA,NA,NA,NA,NA
"765",3,"Alfred","Empire 8","Ithaca","Liberty League","NA NA",0,22,NA,NA,NA,NA,NA,NA,NA
"766",3,"Western New England","Commonwealth Coast","St Lawrence","Liberty League","NA NA",42,21,NA,NA,NA,NA,NA,NA,NA
"767",3,"Grand Valley State","GLIAC","Assumption","Northeast 10","NA NA",43,7,NA,NA,NA,NA,NA,NA,NA
"768",3,"Sacred Heart","NEC","Wagner","NEC","NA NA",10,17,NA,NA,NA,16.5,-54,NA,NA
"769",3,"Monmouth","CAA","Campbell","CAA","Monmouth -14",31,45,52,-18.5,1,39,-31.5,-14,"Monmouth"
"770",3,"Marist","Pioneer","Davidson","Pioneer","NA NA",21,49,NA,NA,NA,NA,NA,NA,NA
"771",3,"Post University","Independent DII","Bentley","Northeast 10","NA NA",13,40,NA,NA,NA,NA,NA,NA,NA
"772",3,"Curry","Commonwealth Coast","MIT","NEWMAC","NA NA",20,16,NA,NA,NA,NA,NA,NA,NA
"773",3,"Birmingham-Southern","Southern Athletic","Trinity (TX)","Southern Athletic","NA NA",3,38,NA,NA,NA,NA,NA,NA,NA
"774",3,"Bowie State","CIAA","Shaw","CIAA","NA NA",21,7,NA,NA,NA,NA,NA,NA,NA
"775",3,"Minnesota St-Moorhead","Northern Sun","McKendree","Great Lakes","NA NA",38,17,NA,NA,NA,NA,NA,NA,NA
"776",3,"Juniata","Landmark Conference","Hartwick","Empire 8","NA NA",31,21,NA,NA,NA,NA,NA,NA,NA
"777",3,"William Paterson","New Jersey","McDaniel College","Centennial","NA NA",35,14,NA,NA,NA,NA,NA,NA,NA
"778",3,"Montclair State","New Jersey","Franklin & Marshall","Centennial","NA NA",25,31,NA,NA,NA,NA,NA,NA,NA
"779",3,"Eastern University","Mid Atlantic","Delaware Valley","Mid Atlantic","NA NA",6,29,NA,NA,NA,NA,NA,NA,NA
"780",3,"Alvernia University","Mid Atlantic","Widener","Mid Atlantic","NA NA",7,57,NA,NA,NA,NA,NA,NA,NA
"781",3,"Kean","New Jersey","Dickinson","Centennial","NA NA",13,24,NA,NA,NA,NA,NA,NA,NA
"782",3,"St. Anselm","Northeast 10","American International","Northeast 10","NA NA",24,14,NA,NA,NA,NA,NA,NA,NA
"783",3,"Nebraska-Kearney","Mid America","Missouri Southern State","Mid America","NA NA",13,18,NA,NA,NA,NA,NA,NA,NA
"784",3,"Colgate","Patriot","Pennsylvania","Ivy","NA NA",6,20,33.5,-37,1,NA,NA,NA,NA
"785",3,"St. Vincent","Presidents'","Allegheny","Presidents'","NA NA",23,19,NA,NA,NA,NA,NA,NA,NA
"786",3,"Thiel College","Presidents'","Bethany (WV)","Presidents'","NA NA",22,14,NA,NA,NA,NA,NA,NA,NA
"787",3,"Southern Virginia","USA South","Randolph-Macon","Old Dominion","NA NA",10,51,NA,NA,NA,NA,NA,NA,NA
"788",3,"Hope","Michigan","Mount St. Joseph","Heartland","NA NA",40,35,NA,NA,NA,NA,NA,NA,NA
"789",3,"Olivet College","Michigan","Hanover","Heartland","NA NA",17,67,NA,NA,NA,NA,NA,NA,NA
"790",3,"Concord","Mountain East","West Virginia State","Mountain East","NA NA",27,47,NA,NA,NA,NA,NA,NA,NA
"791",3,"Clarion","Pennsylvania State Athletic","Lock Haven","Pennsylvania State Athletic","NA NA",20,21,NA,NA,NA,NA,NA,NA,NA
"792",3,"Northwood (MI)","Great Midwest Athletic","Tiffin","Great Midwest Athletic","NA NA",27,34,NA,NA,NA,NA,NA,NA,NA
"793",3,"Fairmont State","Mountain East","Wheeling Jesuit","Mountain East","NA NA",37,43,NA,NA,NA,NA,NA,NA,NA
"794",3,"Frostburg State","Mountain East","West Liberty","Mountain East","NA NA",37,7,NA,NA,NA,NA,NA,NA,NA
"795",3,"WV Wesleyan","Mountain East","Alderson-Broaddus","Mountain East","NA NA",0,0,NA,NA,NA,NA,NA,NA,NA
"796",3,"DePauw","North Coast","Hiram","North Coast","NA NA",49,0,NA,NA,NA,NA,NA,NA,NA
"797",3,"Harvard","Ivy","St. Thomas (MN)","Pioneer","NA NA",45,13,NA,NA,NA,NA,NA,NA,NA
"798",3,"East Stroudsburg","Pennsylvania State Athletic","Seton Hill College","Pennsylvania State Athletic","NA NA",55,21,NA,NA,NA,NA,NA,NA,NA
"799",3,"Baldwin-Wallace","Ohio","John Carroll","Ohio","NA NA",7,30,NA,NA,NA,NA,NA,NA,NA
"800",3,"Capital","Ohio","Muskingum","Ohio","NA NA",38,45,NA,NA,NA,NA,NA,NA,NA
"801",3,"Trinity (CT)","NESCAC","Tufts","NESCAC","NA NA",44,19,NA,NA,NA,NA,NA,NA,NA
"802",3,"Marietta","Ohio","Mount Union","Ohio","NA NA",0,28,NA,NA,NA,NA,NA,NA,NA
"803",3,"Colorado Mines","Rocky Mountain","Adams State","Rocky Mountain","NA NA",70,7,NA,NA,NA,NA,NA,NA,NA
"804",3,"South Dakota","MVFC","Lamar","Southland","South Dakota -30.5",35,6,59.5,-11,1,30,-40.5,-30.5,"South Dakota"
"805",3,"Ball State","Mid-American","Indiana State","MVFC","Ball State -14",45,7,60,-14.9,1.022,47,-23.5,-14,"Ball State"
"806",3,"Utah","Pac-12","Weber State","Big Sky","Utah -27.7",31,7,84,8.3,3.236,59.5,-11,-27.7,"Utah"
"807",3,"NC State","ACC","VMI","Southern","NC State -36.9",45,7,79,9.4,2.864,45,-25.5,-36.9,"NC State"
"808",3,"Temple","American Athletic","Norfolk State","MEAC","Temple -21",41,9,54,-21.8,3.04,36,-34.5,-21,"Temple"
"809",3,"Augsburg","Minnesota","Martin Luther College","Upper Midwest","NA NA",62,0,NA,NA,NA,NA,NA,NA,NA
"810",3,"Wisconsin-Eau Claire","Wisconsin","Bethel (MN)","Minnesota","NA NA",0,24,NA,NA,NA,NA,NA,NA,NA
"811",3,"UW-Stout","Wisconsin","Gustavus Adolphus","Minnesota","NA NA",24,7,NA,NA,NA,NA,NA,NA,NA
"812",3,"Lawrence","Midwest","Monmouth (IL)","Midwest","NA NA",13,70,NA,NA,NA,NA,NA,NA,NA
"813",3,"Benedictine (IL)","NACC","Aurora","NACC","NA NA",7,63,NA,NA,NA,NA,NA,NA,NA
"814",3,"Lakeland University","NACC","Concordia (WI)","NACC","NA NA",28,31,NA,NA,NA,NA,NA,NA,NA
"815",3,"St. Norbert","NACC","Wisconsin Lutheran","NACC","NA NA",37,32,NA,NA,NA,NA,NA,NA,NA
"816",3,"Bridgewater (VA)","Old Dominion","NC Wesleyan","USA South","NA NA",41,12,NA,NA,NA,NA,NA,NA,NA
"817",3,"Hendrix College","Southern Athletic","Southwestern University","Southern Athletic","NA NA",51,38,NA,NA,NA,NA,NA,NA,NA
"818",3,"Sewanee Univ. of the South","Southern Athletic","Millsaps","Southern Athletic","NA NA",27,21,NA,NA,NA,NA,NA,NA,NA
"819",3,"Northwestern (MN)","Upper Midwest","UW-River Falls","Wisconsin","NA NA",3,75,NA,NA,NA,NA,NA,NA,NA
"820",3,"St. Scholastica","Minnesota","Crown College","Upper Midwest","NA NA",38,18,NA,NA,NA,NA,NA,NA,NA
"821",3,"Middlebury","NESCAC","Amherst College","NESCAC","NA NA",21,7,NA,NA,NA,NA,NA,NA,NA
"822",3,"Eastern Michigan","Mid-American","UMass","FBS Independents","Eastern Michigan -6.3",19,17,58,-9.6,1.316,53,-17.7,-6.3,"Eastern Michigan"
"823",3,"Upper Iowa","Northern Sun","Missouri S&T","Great Lakes","NA NA",38,26,NA,NA,NA,NA,NA,NA,NA
"824",3,"Wisconsin-Platteville","Wisconsin","Michigan Tech","GLIAC","NA NA",20,24,NA,NA,NA,NA,NA,NA,NA
"825",3,"Northern Michigan","GLIAC","Wisconsin-La Crosse","Wisconsin","NA NA",3,34,NA,NA,NA,NA,NA,NA,NA
"826",3,"Bloomsburg","Pennsylvania State Athletic","Edinboro","Pennsylvania State Athletic","NA NA",13,23,NA,NA,NA,NA,NA,NA,NA
"827",3,"Manchester","Heartland","Greenville","Upper Midwest","NA NA",7,59,NA,NA,NA,NA,NA,NA,NA
"828",3,"East Texas Baptist","American Southwest","UW-Oshkosh","Wisconsin","NA NA",7,60,NA,NA,NA,NA,NA,NA,NA
"829",3,"Eastern New Mexico","Lone Star","Western Oregon","Lone Star","NA NA",30,29,NA,NA,NA,NA,NA,NA,NA
"830",3,"Central Missouri State","Mid America","Pittsburg State","Mid America","NA NA",37,38,NA,NA,NA,NA,NA,NA,NA
"831",3,"Beloit College","Midwest","Grinnell","Midwest","NA NA",23,33,NA,NA,NA,NA,NA,NA,NA
"832",3,"Indiana (PA)","Pennsylvania State Athletic","Shippensburg","Pennsylvania State Athletic","NA NA",49,14,NA,NA,NA,NA,NA,NA,NA
"833",3,"Minot State","Northern Sun","Minnesota State","Northern Sun","NA NA",25,52,NA,NA,NA,NA,NA,NA,NA
"834",3,"Tuskegee","SIAC","Central State","SIAC","NA NA",27,21,NA,NA,NA,NA,NA,NA,NA
"835",3,"Central","American Rivers","Coe","American Rivers","NA NA",11,19,NA,NA,NA,NA,NA,NA,NA
"836",3,"Loras College","American Rivers","Luther","American Rivers","NA NA",44,29,NA,NA,NA,NA,NA,NA,NA
"837",3,"Nebraska Wesleyan University","American Rivers","Simpson College","American Rivers","NA NA",21,13,NA,NA,NA,NA,NA,NA,NA
"838",3,"Howard Payne","American Southwest","Lyon College",NA,"NA NA",85,0,NA,NA,NA,NA,NA,NA,NA
"839",3,"Salisbury","New Jersey","Johns Hopkins","Centennial","NA NA",7,42,NA,NA,NA,NA,NA,NA,NA
"840",3,"North Park","CCIW","Carroll (WI)","CCIW","NA NA",27,41,NA,NA,NA,NA,NA,NA,NA
"841",3,"Illinois Wesleyan","CCIW","Wheaton College (Ill)","CCIW","NA NA",16,47,NA,NA,NA,NA,NA,NA,NA
"842",3,"North Central","CCIW","Carthage","CCIW","NA NA",70,0,NA,NA,NA,NA,NA,NA,NA
"843",3,"Ripon","Midwest","Illinois College","Midwest","NA NA",21,52,NA,NA,NA,NA,NA,NA,NA
"844",3,"Eureka College","NACC","Rockford","NACC","NA NA",35,28,NA,NA,NA,NA,NA,NA,NA
"845",3,"Quincy","Great Lakes","UFTL",NA,"NA NA",49,0,NA,NA,NA,NA,NA,NA,NA
"846",3,"Wartburg","American Rivers","Buena Vista","American Rivers","NA NA",47,0,NA,NA,NA,NA,NA,NA,NA
"847",3,"Millikin","CCIW","Washington (MO)","CCIW","NA NA",13,63,NA,NA,NA,NA,NA,NA,NA
"848",3,"Lake Forest","Midwest","Cornell College (IA)","Midwest","NA NA",41,7,NA,NA,NA,NA,NA,NA,NA
"849",3,"Youngstown State","MVFC","Robert Morris","Big South-OVC","Youngstown State -21",48,28,52.5,-18,1,32.5,-38,-21,"Youngstown State"
"850",3,"Southwest Baptist","Great Lakes","University of Texas of the Permian Basin","Lone Star","NA NA",7,86,NA,NA,NA,NA,NA,NA,NA
"851",3,"Notre Dame","FBS Independents","Central Michigan","Mid-American","Notre Dame -35.2",41,17,90.5,19.1,2.704,58,-19.2,-35.2,"Notre Dame"
"852",3,"Anna Maria College","ECFC","Mass Maritime","MSCAC","NA NA",37,30,NA,NA,NA,NA,NA,NA,NA
"853",3,"Otterbein","Ohio","Wilmington (OH)","Ohio","NA NA",21,47,NA,NA,NA,NA,NA,NA,NA
"854",3,"Adrian","Michigan","Bluffton","Heartland","NA NA",23,15,NA,NA,NA,NA,NA,NA,NA
"855",3,"Truman State","Great Lakes","Saginaw Valley","GLIAC","NA NA",21,7,NA,NA,NA,NA,NA,NA,NA
"856",3,"Grambling","SWAC","Florida Memorial University",NA,"NA NA",58,22,NA,NA,NA,NA,NA,NA,NA
"857",3,"Eastern Illinois","Big South-OVC","Illinois State","MVFC","Illinois State -18.5",14,13,30.5,-40,1,50,-20.5,-18.5,"Illinois State"
"858",3,"Montana State","Big Sky","Stetson","Pioneer","NA NA",57,20,65,-5.5,1,NA,NA,NA,NA
"859",3,"Pacific Lutheran","Northwest","Cal Lutheran","So. Cal.","NA NA",37,27,NA,NA,NA,NA,NA,NA,NA
"860",3,"Chicago","Midwest","Knox College","Midwest","NA NA",63,0,NA,NA,NA,NA,NA,NA,NA
"861",3,"College of New Jersey","New Jersey","Muhlenberg","Centennial","NA NA",10,38,NA,NA,NA,NA,NA,NA,NA
"862",3,"Morehouse","SIAC","Albany State (GA)","SIAC","NA NA",14,24,NA,NA,NA,NA,NA,NA,NA
"863",3,"South Dakota Mines","Rocky Mountain","Colorado Mesa","Rocky Mountain","NA NA",30,38,NA,NA,NA,NA,NA,NA,NA
"864",3,"Bemidji State","Northern Sun","Winona State","Northern Sun","NA NA",36,10,NA,NA,NA,NA,NA,NA,NA
"865",3,"Lane","SIAC","Benedict College","SIAC","NA NA",7,54,NA,NA,NA,NA,NA,NA,NA
"866",3,"Minnesota-Duluth","Northern Sun","Sioux Falls","Northern Sun","NA NA",42,34,NA,NA,NA,NA,NA,NA,NA
"867",3,"Central Oklahoma","Mid America","Missouri Western","Mid America","NA NA",31,34,NA,NA,NA,NA,NA,NA,NA
"868",3,"Minnesota-Morris","Upper Midwest","Carleton","Minnesota","NA NA",12,38,NA,NA,NA,NA,NA,NA,NA
"869",3,"North Carolina","ACC","Minnesota","Big Ten","North Carolina -12.6",31,13,79.5,10.2,2.576,69.5,-1.3,-12.6,"North Carolina"
"870",3,"Appalachian State","Sun Belt","East Carolina","American Athletic","Appalachian State -14.6",43,28,74,3,1.644,61,-13.3,-14.6,"Appalachian State"
"871",3,"Rutgers","Big Ten","Virginia Tech","ACC","Virginia Tech -2.3",35,16,73,2.3,1.654,77,4.7,-2.3,"Virginia Tech"
