"","week","home_team","home_conference","away_team","away_conference","TAN_Proj_Spread","home_points","away_points","Home_TAN23","Home_SP","HFACW","Away_TAN","Away_SP","TANSpread","TANFAV"
"42",1,"Western Michigan","Mid-American","St Francis (PA)","NEC","NA NA",35,17,57.5,-15.9,1.94,NA,NA,NA,NA
"43",1,"Bemidji State","Northern Sun","Northern State","Northern Sun","NA NA",49,13,NA,NA,NA,NA,NA,NA,NA
"44",1,"Millersville","Pennsylvania State Athletic","St. Anselm","Northeast 10","NA NA",33,7,NA,NA,NA,NA,NA,NA,NA
"45",1,"Wheeling Jesuit","Mountain East","Seton Hill College","Pennsylvania State Athletic","NA NA",35,24,NA,NA,NA,NA,NA,NA,NA
"46",1,"Southwestern Oklahoma","Great American","Ouachita Baptist","Great American","NA NA",14,38,NA,NA,NA,NA,NA,NA,NA
"47",1,"Southern Nazarene","Great American","Harding","Great American","NA NA",20,53,NA,NA,NA,NA,NA,NA,NA
"48",1,"Carson-Newman","South Atlantic","Virginia Lynchburg",NA,"NA NA",35,3,NA,NA,NA,NA,NA,NA,NA
"49",1,"Charleston (WV)","Mountain East","Gannon","Pennsylvania State Athletic","NA NA",22,13,NA,NA,NA,NA,NA,NA,NA
"50",1,"Fairmont State","Mountain East","Bloomsburg","Pennsylvania State Athletic","NA NA",34,30,NA,NA,NA,NA,NA,NA,NA
"51",1,"Louisiana College",NA,"East Texas Baptist","American Southwest","NA NA",34,14,NA,NA,NA,NA,NA,NA,NA
"52",1,"Wayne State (NE)","Northern Sun","Minnesota St-Moorhead","Northern Sun","NA NA",31,23,NA,NA,NA,NA,NA,NA,NA
"53",1,"Belhaven College","USA South","Millsaps","Southern Athletic","NA NA",47,7,NA,NA,NA,NA,NA,NA,NA
"54",1,"Lakeland University","NACC","Wisconsin-Platteville","Wisconsin","NA NA",13,80,NA,NA,NA,NA,NA,NA,NA
"55",1,"Buffalo State","Liberty League","Brockport State (NY)","Empire 8","NA NA",6,42,NA,NA,NA,NA,NA,NA,NA
"56",1,"Georgia State","Sun Belt","Rhode Island","CAA","Georgia State -20.6",42,35,63,-9.4,2.068,44.5,-26,-20.6,"Georgia State"
"57",1,"McMurry","American Southwest","Birmingham-Southern","Southern Athletic","NA NA",19,20,NA,NA,NA,NA,NA,NA,NA
"58",1,"Kentucky State","SIAC","Clark Atlanta","SIAC","NA NA",34,20,NA,NA,NA,NA,NA,NA,NA
"59",1,"UCF","Big 12","Kent State","Mid-American","UCF -39.7",56,6,81,4.5,2.708,44,-26.4,-39.7,"UCF"
"60",1,"Wake Forest","ACC","Elon","CAA","Wake Forest -22.9",37,17,67.5,-7.5,3.368,48,-22.5,-22.9,"Wake Forest"
"61",1,"Sioux Falls","Northern Sun","Minnesota State","Northern Sun","NA NA",26,54,NA,NA,NA,NA,NA,NA,NA
"62",1,"Minot State","Northern Sun","Southwest Minnesota State","Northern Sun","NA NA",23,28,NA,NA,NA,NA,NA,NA,NA
"63",1,"Lincoln (PA)","CIAA","Clarion","Pennsylvania State Athletic","NA NA",20,30,NA,NA,NA,NA,NA,NA,NA
"64",1,"East Stroudsburg","Pennsylvania State Athletic","Pace","Northeast 10","NA NA",62,9,NA,NA,NA,NA,NA,NA,NA
"65",1,"Ferris State","GLIAC","Mercyhurst","Pennsylvania State Athletic","NA NA",54,12,NA,NA,NA,NA,NA,NA,NA
"66",1,"Concordia-St. Paul","Northern Sun","Upper Iowa","Northern Sun","NA NA",43,20,NA,NA,NA,NA,NA,NA,NA
"67",1,"Connecticut","FBS Independents","NC State","ACC","NA NA",14,24,NA,NA,NA,79,9.4,NA,NA
"68",1,"Youngstown State","MVFC","Valparaiso","Pioneer","NA NA",52,10,52.5,-18,1,NA,NA,NA,NA
"69",1,"Henderson State","Great American","East Central","Great American","NA NA",41,13,NA,NA,NA,NA,NA,NA,NA
"70",1,"Missouri","SEC","South Dakota","MVFC","Missouri -31.9",35,10,88.5,17.8,2.852,59.5,-11,-31.9,"Missouri"
"71",1,"Utah","Pac-12","Florida","SEC","Utah -7.7",24,11,84,8.3,3.236,79.5,5.9,-7.7,"Utah"
"72",1,"Tulsa","American Athletic","Arkansas-Pine Bluff","SWAC","Tulsa -9",42,7,58,-14.2,0.982,50,-25,-9,"Tulsa"
"73",1,"Abilene Christian","UAC","Northern Colorado","Big Sky","Abilene Christian -5.5",31,11,43,-27.5,1,38.5,-32,-5.5,"Abilene Christian"
"74",1,"South Dakota State","MVFC","Western Oregon","Lone Star","NA NA",45,7,70,-0.5,1,NA,NA,NA,NA
"75",1,"Lindenwood","Big South-OVC","Wisconsin-Stevens Point","Wisconsin","NA NA",77,9,NA,NA,NA,NA,NA,NA,NA
"76",1,"UAB","American Athletic","North Carolina A&T","CAA","UAB -25.5",35,6,64,-15.2,3.524,42,-28.5,-25.5,"UAB"
"77",1,"Weber State","Big Sky","Central Washington","Lone Star","NA NA",35,10,59.5,-11,1,NA,NA,NA,NA
"78",1,"Minnesota","Big Ten","Nebraska","Big Ten","Nebraska -1.6",13,10,69.5,-1.3,2.938,74,0.1,-1.6,"Nebraska"
"79",1,"Colorado Mines","Rocky Mountain","Grand Valley State","GLIAC","NA NA",31,28,NA,NA,NA,NA,NA,NA,NA
"80",1,"Eastern New Mexico","Lone Star","New Mexico Highlands","Rocky Mountain","NA NA",28,26,NA,NA,NA,NA,NA,NA,NA
"81",1,"Emporia State","Mid America","Lincoln (MO)","Independent DII","NA NA",56,10,NA,NA,NA,NA,NA,NA,NA
"82",1,"Beloit College","Midwest","Rockford","NACC","NA NA",34,27,NA,NA,NA,NA,NA,NA,NA
"83",1,"Oklahoma Baptist","Great American","Arkansas Tech","Great American","NA NA",23,21,NA,NA,NA,NA,NA,NA,NA
"84",1,"Dakota State",NA,"Wisconsin-La Crosse","Wisconsin","NA NA",6,31,NA,NA,NA,NA,NA,NA,NA
"85",1,"Missouri Western","Mid America","Central Missouri State","Mid America","NA NA",38,45,NA,NA,NA,NA,NA,NA,NA
"86",1,"Central Oklahoma","Mid America","Nebraska-Kearney","Mid America","NA NA",24,21,NA,NA,NA,NA,NA,NA,NA
"87",1,"Missouri Southern State","Mid America","Northwest Missouri State","Mid America","NA NA",24,31,NA,NA,NA,NA,NA,NA,NA
"88",1,"Pittsburg State","Mid America","Washburn","Mid America","NA NA",34,7,NA,NA,NA,NA,NA,NA,NA
"89",1,"Arizona State","Pac-12","Southern Utah","UAC","Arizona State -34.1",24,21,65,-11.9,2.558,33.5,-37,-34.1,"Arizona State"
"90",1,"Nichols","Commonwealth Coast","UMass Dartmouth","MSCAC","NA NA",6,57,NA,NA,NA,NA,NA,NA,NA
"91",1,"West Florida","Gulf South","Kentucky Wesleyan","Great Midwest Athletic","NA NA",35,3,NA,NA,NA,NA,NA,NA,NA
"92",1,"Eastern Michigan","Mid-American","Howard","MEAC","Eastern Michigan -33.8",33,23,58,-9.6,1.316,25.5,-45,-33.8,"Eastern Michigan"
"93",1,"Miami","ACC","Miami (OH)","Mid-American","NA NA",38,3,80,11.7,1.7,NA,NA,NA,NA
"94",1,"Catholic University","Landmark Conference","McDaniel College","Centennial","NA NA",34,7,NA,NA,NA,NA,NA,NA,NA
"95",1,"Alfred","Empire 8","Hobart","Liberty League","NA NA",9,31,NA,NA,NA,NA,NA,NA,NA
"96",1,"Muhlenberg","Centennial","Moravian","Landmark Conference","NA NA",53,12,NA,NA,NA,NA,NA,NA,NA
"97",1,"Curry","Commonwealth Coast","Salve Regina","Commonwealth Coast","NA NA",0,48,NA,NA,NA,NA,NA,NA,NA
"98",1,"Lebanon Valley","Mid Atlantic","Franklin & Marshall","Centennial","NA NA",12,16,NA,NA,NA,NA,NA,NA,NA
"99",1,"Michigan State","Big Ten","Central Michigan","Mid-American","Michigan State -11.4",31,7,67.5,-6.9,1.938,58,-19.2,-11.4,"Michigan State"
"100",1,"Worcester Polytechnic","NEWMAC","Worcester State College","MSCAC","NA NA",44,13,NA,NA,NA,NA,NA,NA,NA
"101",1,"Ursinus","Centennial","Alvernia University","Mid Atlantic","NA NA",38,6,NA,NA,NA,NA,NA,NA,NA
"102",1,"Georgia Tech","ACC","Louisville","ACC","Louisville -7.5",34,39,74,-1.3,1.496,83,10.8,-7.5,"Louisville"
"103",1,"Kansas","Big 12","Missouri State","MVFC","Kansas -21.6",48,17,83,9.3,1.58,63,-7.5,-21.6,"Kansas"
"104",1,"South Dakota Mines","Rocky Mountain","Valley City State",NA,"NA NA",31,14,NA,NA,NA,NA,NA,NA,NA
"105",1,"Hardin-Simmons","American Southwest","Albright","Mid Atlantic","NA NA",47,3,NA,NA,NA,NA,NA,NA,NA
"106",1,"Hawai'i","Mountain West","Stanford","Pac-12","Stanford -2.9",24,37,56.5,-16.7,2.052,61.5,-12.3,-2.9,"Stanford"
"107",1,"St. Thomas (MN)","Pioneer","Black Hills State","Rocky Mountain","NA NA",36,26,NA,NA,NA,NA,NA,NA,NA
"108",1,"Nicholls","Southland","Sacramento State","Big Sky","Sacramento State -6",24,38,53.5,-17,1,60.5,-10,-6,"Sacramento State"
"109",1,"Westminster","Upper Midwest","Rhodes","Southern Athletic","NA NA",0,47,NA,NA,NA,NA,NA,NA,NA
"110",1,"Holy Cross","Patriot","Merrimack","NEC","NA NA",42,20,51.5,-19,1,NA,NA,NA,NA
"111",1,"Montana State","Big Sky","Utah Tech","UAC","NA NA",63,20,65,-5.5,1,NA,NA,NA,NA
