"","game_id","team","off_plays","def_plays","off_total_ppa","def_total_ppa","off_success_rate","def_success_rate","offPpaPerPlay","defPpaPerPlay","numDrives","avgFieldPosStart","numOpportunities","pointsDuringOpportunities","pointsPerOpportunity","third_down_eff","fourth_down_eff","qb_hurries","tackles_for_loss","interceptions","passes_deflected","fumbles_lost","numPlays","havocPlays","logo","color"
"19",401403863,"Georgia State",70,68,-16.8151090642982,6.01125155969689,0.228571428571429,0.352941176470588,-0.240215843775688,0.0884007582308366,15,26.8666666666667,5,14,2.8,"5-17","1-3",6,7,1,4,0,71,12,"http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png","#1e539a"
"20",401403863,"South Carolina",68,70,6.01125155969689,-16.8151090642982,0.352941176470588,0.228571428571429,0.0884007582308366,-0.240215843775688,13,26.8461538461538,4,20,5,"3-14","2-2",6,6,2,9,0,69,17,"http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png","#670010"
"21",401403864,"Ball State",69,86,4.54938823538488,35.8596768040453,0.36231884057971,0.534883720930233,0.0659331628316649,0.41697298609355,13,30.7692307692308,4,10,2.5,"5-14","0-2",0,2,2,2,1,87,7,"http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png","#DA0000"
"22",401403864,"Tennessee",86,69,35.8596768040453,4.54938823538488,0.534883720930233,0.36231884057971,0.41697298609355,0.0659331628316649,14,29.8571428571429,9,52,5.77777777777778,"5-13","3-3",7,2,0,5,1,71,8,"http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png","#EE9627"
"23",401403865,"Sam Houston State",54,66,-5.10913386096817,22.7841422002122,0.314814814814815,0.439393939393939,-0.094613590017929,0.345214275760792,13,25.7692307692308,3,0,0,"1-12","1-1",3,6,1,1,1,68,9,NA,NA
"24",401403865,"Texas A&M",66,54,22.7841422002122,-5.10913386096817,0.439393939393939,0.314814814814815,0.345214275760792,-0.094613590017929,13,27.2307692307692,6,31,5.16666666666667,"7-13","0-0",6,6,2,4,0,55,12,"http://a.espncdn.com/i/teamlogos/ncaa/500/245.png","#5C0025"
"25",401403866,"Elon",70,58,13.7686468460569,21.0621194847367,0.414285714285714,0.396551724137931,0.19669495494367,0.36313999111615,16,28.875,8,31,3.875,"4-15","0-2",2,3,0,3,1,62,7,NA,NA
"26",401403866,"Vanderbilt",58,70,21.0621194847367,13.7686468460569,0.396551724137931,0.414285714285714,0.36313999111615,0.19669495494367,15,28.5333333333333,7,42,6,"5-13","0-1",3,5,0,3,0,77,8,"http://a.espncdn.com/i/teamlogos/ncaa/500/238.png","#000000"
"27",401403966,"Colorado",71,53,0.328028146223844,27.051351120058,0.394366197183099,0.490566037735849,0.0046201147355471,0.510402851321849,10,23.9,4,13,3.25,"6-15","0-3",2,3,0,0,0,54,3,"http://a.espncdn.com/i/teamlogos/ncaa/500/38.png","#d1c57e"
"28",401403966,"TCU",53,71,27.051351120058,0.328028146223844,0.490566037735849,0.394366197183099,0.510402851321849,0.0046201147355471,9,28,6,31,5.16666666666667,"5-11","2-2",5,6,0,7,0,72,13,"http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png","#3C377D"
"29",401403967,"Arizona",72,54,15.696156457735,-2.84374407628365,0.486111111111111,0.37037037037037,0.218002173024098,-0.052661927338586,12,28.3333333333333,7,38,5.42857142857143,"6-13","1-2",0,4,1,1,1,60,7,"http://a.espncdn.com/i/teamlogos/ncaa/500/12.png","#CC0033"
"30",401403967,"San Diego State",54,72,-2.84374407628365,15.696156457735,0.37037037037037,0.486111111111111,-0.052661927338586,0.218002173024098,12,34,5,13,2.6,"2-11","2-2",0,4,1,1,1,75,7,"http://a.espncdn.com/i/teamlogos/ncaa/500/21.png","#BF2C37"
"31",401403968,"California",69,77,23.7113474771136,2.97963226942257,0.449275362318841,0.402597402597403,0.343642717059617,0.0386965229795139,12,23.75,5,27,5.4,"7-13","0-0",3,4,1,7,0,78,12,"http://a.espncdn.com/i/teamlogos/ncaa/500/25.png","#031522"
"32",401403968,"UC Davis",77,69,2.97963226942257,23.7113474771136,0.402597402597403,0.449275362318841,0.0386965229795139,0.343642717059617,12,29.4166666666667,7,13,1.85714285714286,"7-18","3-5",2,4,2,2,0,71,8,NA,NA
"33",401403969,"Boise State",66,59,7.52478716950602,20.3140172903046,0.333333333333333,0.355932203389831,0.114011926810697,0.344305377801773,15,28.3333333333333,6,17,2.83333333333333,"4-13","1-1",3,4,3,1,2,64,10,"http://a.espncdn.com/i/teamlogos/ncaa/500/68.png","#09347A"
"34",401403969,"Oregon State",59,66,20.3140172903046,7.52478716950602,0.355932203389831,0.333333333333333,0.344305377801773,0.114011926810697,15,35.7333333333333,8,34,4.25,"4-13","1-1",2,8,2,4,1,70,15,"http://a.espncdn.com/i/teamlogos/ncaa/500/204.png","#c34500"
"35",401403970,"Colgate",59,58,-4.79342282480522,23.6036730252324,0.305084745762712,0.53448275862069,-0.0812444546577155,0.406959879745386,13,30.3846153846154,4,3,0.75,"4-16","0-0",1,5,1,0,0,58,6,NA,NA
"36",401403970,"Stanford",58,59,23.6036730252324,-4.79342282480522,0.53448275862069,0.305084745762712,0.406959879745386,-0.0812444546577155,12,28.6666666666667,6,41,6.83333333333333,"4-9","1-1",7,3,1,2,3,62,9,"http://a.espncdn.com/i/teamlogos/ncaa/500/24.png","#A80532"
"37",401403971,"Bowling Green",59,92,-3.19544136512058,21.5082662906614,0.288135593220339,0.5,-0.0541600231376369,0.233785503159364,14,30.3571428571429,3,10,3.33333333333333,"2-16","2-3",5,5,0,3,1,95,9,"http://a.espncdn.com/i/teamlogos/ncaa/500/189.png","#2b1000"
"38",401403971,"UCLA",92,59,21.5082662906614,-3.19544136512058,0.5,0.288135593220339,0.233785503159364,-0.0541600231376369,14,39,11,38,3.45454545454545,"10-19","2-3",1,9,1,8,1,62,19,"http://a.espncdn.com/i/teamlogos/ncaa/500/26.png","#005C8E"
"39",401403973,"Kent State",68,75,6.60146067721132,32.0965081020779,0.352941176470588,0.546666666666667,0.0970803040766371,0.427953441361038,12,30.25,6,20,3.33333333333333,"10-17","1-2",0,3,3,5,0,79,11,"http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png","#002445"
"40",401403973,"Washington",75,68,32.0965081020779,6.60146067721132,0.546666666666667,0.352941176470588,0.427953441361038,0.0970803040766371,10,30.9,8,45,5.625,"9-15","2-4",0,5,0,4,1,70,10,"http://a.espncdn.com/i/teamlogos/ncaa/500/264.png","#2B2F64"
