"","gameID","Team","Week","HomeAway","DKSpread","FDSpread","MGMSpread","CZRSpread","DKML","FDML","MGMML","CZRML","DKTotal","FDTotal","MGMTotal","CZRTotal"
"73",401403943,"Alabama",11,0,"-13.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA,NA
"194",401403943,"Ole Miss",11,1,"13.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA,NA
"104",401404033,"Colorado",11,0,NA,"21 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"225",401404033,"USC",11,1,NA,"-21 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"74",401404037,"Washington",11,0,"10 (-110)","9 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"195",401404037,"Oregon",11,1,"-10 (-110)","-9 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"105",401404038,"Stanford",11,0,NA,"14 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"226",401404038,"Utah",11,1,NA,"-14 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"107",401405135,"Wisconsin",11,0,NA,"-2 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"228",401405135,"Iowa",11,1,NA,"2 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"72",401405137,"Nebraska",11,0,"12 (-110)","11.5 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"193",401405137,"Michigan",11,1,"-12 (-110)","-11.5 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"109",401403949,"Georgia",12,0,NA,"-16 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"230",401403949,"Kentucky",12,1,NA,"16 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"77",401404043,"Utah",12,0,"1 (-110)","3 (-115)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"198",401404043,"Oregon",12,1,"-1 (-110)","-3 (-105)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"75",401404044,"USC",12,0,"-4 (-110)","-6 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"196",401404044,"UCLA",12,1,"4 (-110)","6 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"76",401404118,"Oklahoma State",12,0,"7 (-110)","5.5 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"197",401404118,"Oklahoma",12,1,"-7 (-110)","-5.5 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"108",401405142,"Wisconsin",12,0,NA,"-3 (-105)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"229",401405142,"Nebraska",12,1,NA,"3 (-115)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"81",401403957,"Auburn",13,0,"23.5 (-110)","24 (-115)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"202",401403957,"Alabama",13,1,"-23.5 (-110)","-24 (-105)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"78",401403958,"Florida",13,0,"-1.5 (-110)","2 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"199",401403958,"Florida State",13,1,"1.5 (-110)","-2 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"116",401403959,"Georgia Tech",13,0,NA,"28 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"237",401403959,"Georgia",13,1,NA,"-28 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"118",401403962,"South Carolina",13,0,NA,"14 (-115)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"239",401403962,"Clemson",13,1,NA,"-14 (-105)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"115",401403963,"LSU",13,0,NA,"7.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"236",401403963,"Texas A&M",13,1,NA,"-7.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"113",401404046,"UCLA",13,0,NA,"-6 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"234",401404046,"California",13,1,NA,"6 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"111",401404047,"Oregon",13,0,NA,"-7 (-105)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"232",401404047,"Oregon State",13,1,NA,"7 (-115)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"114",401404051,"Washington",13,0,NA,"1 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"235",401404051,"Washington State",13,1,NA,"-1 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"80",401404119,"Baylor",13,0,"6.5 (-110)","5.5 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"201",401404119,"Texas",13,1,"-6.5 (-110)","-5.5 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"83",401404133,"Notre Dame",13,0,"2.5 (-110)","2.5 (-105)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"204",401404133,"USC",13,1,"-2.5 (-110)","-2.5 (-115)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"112",401405148,"Nebraska",13,0,NA,"3.5 (-115)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"233",401405148,"Iowa",13,1,NA,"-3.5 (-105)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"117",401405150,"Minnesota",13,0,NA,"10 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"238",401405150,"Wisconsin",13,1,NA,"-10 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"82",401405153,"Michigan",13,0,"13.5 (-110)","13.5 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"203",401405153,"Ohio State",13,1,"-13.5 (-110)","-13.5 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"79",401405154,"Michigan State",13,0,"6 (-110)","6.5 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"200",401405154,"Penn State",13,1,"-6 (-110)","-6.5 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"110",401411172,"NC State",13,0,NA,"-4 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"231",401411172,"North Carolina",13,1,NA,"4 (-110)",NA,NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)",NA,NA
"119",NA,"Utah State",NA,0,"-27.5 (-110)","10 (-115)",NA,"-12.5 (-110)",NA,NA,NA,NA,"60.5 (O: -110 U: -110)","NA (O: NA U: NA)",NA,"50.5 (O: -110 U: -110)"
"240",NA,NA,NA,1,"27.5 (-110)","-10 (-105)",NA,"12.5 (-110)",NA,NA,NA,NA,"60.5 (O: -110 U: -110)","NA (O: NA U: NA)",NA,"50.5 (O: -110 U: -110)"
