CFBDataID,player,player_id,DraftYear,position,team_name,CFBDTeamNme,PlayerTeamHelper,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
4360824,Chance Nolan,78493,2023,QB,OREGON ST,Oregon State,Chance NolanOregon State,13,74.8,302,318,10.5,3.02,3,17,5,64.2,204,0,123,9.7,364,22,125,265,67.3,84.7,83.5,66.6,6,10,391,1,11.4,97.3,3.8,14,31,0,7,19,9,2.3,2668,8.4
4685201,Tanner McKee,131770,2024,QB,STANFORD,Stanford,Tanner McKeeStanford,10,75.6,295,315,8,2.48,7,17,5,65.4,206,0,91,7.6,358,17,109,300,50.6,69,68.7,59.9,2,7,387,2,27.5,93.9,7,25,17,1,10,15,15,3.9,2325,7.4
4361182,Adrian Martinez,83522,2023,QB,NEBRASKA,Nebraska,Adrian MartinezNebraska,11,71.1,280,307,11.4,3.11,7,15,4.7,61.6,189,1,164,5,365,10,138,238,44.8,76.8,70.4,75.2,3,10,383,2,17.1,93.8,7.7,28,30,0,17,14,14,3.7,2861,9.3
4038809,Jake Bentley,40788,2022,QB,S ALABAMA,South Alabama,Jake BentleySouth Alabama,10,78.1,288,305,9.1,2.6,5,18,5.6,69.5,212,0,119,5.8,345,13,117,288,70.6,83.2,81.5,64.9,2,8,362,2,16.8,101.4,5.8,20,19,0,10,17,13,3.6,2468,8.1
4240858,Hendon Hooker,60593,2023,QB,TENNESSEE,Tennessee,Hendon HookerTennessee,13,76.4,292,304,9.9,2.74,2,18,5.6,68.1,207,0,125,7.2,402,16,133,307,52.8,84.4,78.3,76.4,3,3,420,2,32.8,129.1,10.2,41,56,0,7,31,9,2.1,2948,9.7
4426348,Jayden Daniels,97993,2023,QB,ARIZONA ST,Arizona State,Jayden DanielsArizona State,13,75.6,287,303,8.6,3.07,3,8,2.6,65,197,0,115,9.2,385,20,126,110,83.2,83.2,70.7,86,2,10,400,4,20.9,86.2,6.2,24,56,0,11,10,9,2.3,2375,7.8
4243539,Noah Vedral,55406,2022,QB,RUTGERS,Rutgers,Noah VedralRutgers,13,68.8,282,303,7.6,2.65,7,14,4.4,59.4,180,0,108,7.2,349,14,75,278,56.8,63.4,55.9,73.2,4,7,362,3,20.4,74.6,6.3,22,14,0,10,7,12,3.3,1813,6
4427243,Brett Gabbert,97404,2024,QB,MIAMI OH,Miami (OH),Brett GabbertMiami (OH),10,67,282,301,12.4,2.71,4,22,6.9,59.1,178,0,98,5.8,349,11,123,221,70.1,82.9,82.3,62.7,4,6,372,1,17.3,108.5,4.9,17,31,2,9,26,13,3.5,2651,8.8
4428512,Kedon Slovis,100580,2023,QB,USC,USC,Kedon SlovisUSC,9,76.3,274,298,9,2.69,10,16,5.1,64.8,193,0,72,7.7,319,16,104,326,53.2,79.8,79,62.3,6,8,339,3,16.7,87.2,3.8,12,8,0,8,11,12,3.5,2151,7.2
4373632,Jaren Hall,82094,2024,QB,BYU,BYU,Jaren HallBYU,10,72.9,277,296,11.7,2.98,5,21,6.7,63.9,189,0,72,6.4,317,13,118,128,67.1,89.2,83.3,80.4,0,5,333,2,16.7,107.1,3.8,12,9,0,14,20,7,2.1,2583,8.7
