"","game_id","season","week","home_team","away_team","home_points","away_points","matchup","formatted_spread","over_under"
"1013",401425414,2022,4,"Colgate","Holy Cross",10,35,"Holy Cross @ Colgate","Holy Cross -20.5","49"
"1014",401435123,2022,4,"Trinity (CT)","Colby",19,7,"Colby @ Trinity (CT)",NA,NA
"1015",401432850,2022,4,"Northwestern (MN)","Hope",7,56,"Hope @ Northwestern (MN)",NA,NA
"1016",401422989,2022,4,"Pennsylvania","Lafayette",12,0,"Lafayette @ Pennsylvania","Pennsylvania -11.5","36"
"1017",401441991,2022,4,"Long Island University","Bryant",29,31,"Bryant @ Long Island University","Bryant -14","55.5"
"1018",401430977,2022,4,"Loras College","Nebraska Wesleyan University",49,31,"Nebraska Wesleyan University @ Loras College",NA,NA
"1019",401441930,2022,4,"Dickinson","Susquehanna",0,45,"Susquehanna @ Dickinson",NA,NA
"1020",401459908,2022,4,"SUNY Maritime","William Paterson",3,14,"William Paterson @ SUNY Maritime",NA,NA
"1021",401455582,2022,4,"Juniata","Gettysburg",14,40,"Gettysburg @ Juniata",NA,NA
"1022",401429863,2022,4,"Shaw","Elizabeth City State",35,16,"Elizabeth City State @ Shaw",NA,NA
"1023",401431110,2022,4,"Alfred","Kalamazoo",31,23,"Kalamazoo @ Alfred",NA,NA
"1024",401431069,2022,4,"Carthage","Washington (MO)",16,45,"Washington (MO) @ Carthage",NA,NA
"1025",401431043,2022,4,"Curry","Hilbert College",49,9,"Hilbert College @ Curry",NA,NA
"1026",401425090,2022,4,"Valparaiso","San Diego",28,21,"San Diego @ Valparaiso","San Diego -7.5","50.5"
"1027",401432999,2022,4,"Clarion","Gannon",24,47,"Gannon @ Clarion",NA,NA
"1028",401435066,2022,4,"Union","Utica",24,31,"Utica @ Union",NA,NA
"1029",401437000,2022,4,"Franklin & Marshall","Ursinus",7,22,"Ursinus @ Franklin & Marshall",NA,NA
"1030",401430963,2022,4,"Dubuque","Wartburg",0,25,"Wartburg @ Dubuque",NA,NA
"1031",401438642,2022,4,"Lebanon Valley","Wilkes",24,19,"Wilkes @ Lebanon Valley",NA,NA
"1032",401444597,2022,4,"Hamilton","Amherst College",24,10,"Amherst College @ Hamilton",NA,NA
"1033",401432113,2022,4,"Frostburg State","Concord",22,23,"Concord @ Frostburg State",NA,NA
"1034",401433151,2022,4,"Bluefield","Fort Valley State",27,44,"Fort Valley State @ Bluefield",NA,NA
"1035",401437210,2022,4,"Keystone","Hobart",6,65,"Hobart @ Keystone",NA,NA
"1036",401432385,2022,4,"St. Anselm","Southern Connecticut State",21,14,"Southern Connecticut State @ St. Anselm",NA,NA
"1037",401445214,2022,4,"Williams","Bowdoin",24,14,"Bowdoin @ Williams",NA,NA
"1038",401445802,2022,4,"Bates College","Tufts",7,35,"Tufts @ Bates College",NA,NA
"1039",401438552,2022,4,"LaGrange College","Methodist",28,38,"Methodist @ LaGrange College",NA,NA
"1040",401432093,2022,4,"Charleston (WV)","Alderson-Broaddus",62,7,"Alderson-Broaddus @ Charleston (WV)",NA,NA
"1041",401431834,2022,4,"North Greenville","Findlay",34,27,"Findlay @ North Greenville",NA,NA
"1042",401439544,2022,4,"Worcester Polytechnic","Montclair State",10,0,"Montclair State @ Worcester Polytechnic",NA,NA
"1043",401432135,2022,4,"West Liberty","WV Wesleyan",23,21,"WV Wesleyan @ West Liberty",NA,NA
"1044",401443118,2022,4,"Delaware Valley","Misericordia",41,0,"Misericordia @ Delaware Valley",NA,NA
"1045",401431544,2022,4,"Michigan Tech","Saginaw Valley",13,35,"Saginaw Valley @ Michigan Tech",NA,NA
"1046",401429853,2022,4,"St. Augustine's","Bowie State",20,36,"Bowie State @ St. Augustine's",NA,NA
"1047",401432129,2022,4,"WV State","Notre Dame College",13,48,"Notre Dame College @ WV State",NA,NA
"1048",401431491,2022,4,"Ohio Dominican","Indianapolis",38,44,"Indianapolis @ Ohio Dominican",NA,NA
"1049",401439534,2022,4,"Widener","Stevenson",14,30,"Stevenson @ Widener",NA,NA
"1050",401433024,2022,4,"East Stroudsburg","Lock Haven",48,7,"Lock Haven @ East Stroudsburg",NA,NA
"1051",401435182,2022,4,"Capital","Wilmington (OH)",31,34,"Wilmington (OH) @ Capital",NA,NA
"1052",401432682,2022,4,"Muskingum","Mount Union",0,59,"Mount Union @ Muskingum",NA,NA
"1053",401432672,2022,4,"John Carroll","Heidelberg",24,7,"Heidelberg @ John Carroll",NA,NA
"1054",401431502,2022,4,"McKendree","Walsh",46,10,"Walsh @ McKendree",NA,NA
