season,firstName,lastName,position,origin,destination,transferDate,rating,stars,eligibility
2022,William,Racely,IOL,Eastern Michigan,,2022-01-12T12:15:00.000Z,,3,Immediate
2022,Jarrett,Paul,S,Eastern Michigan,,2022-01-12T12:12:00.000Z,,3,Immediate
2022,Christopher,Jackson,WR,BYU,,2022-01-05T14:16:00.000Z,,3,Immediate
2022,Shawn,Robinson,S,Missouri,Kansas State,2022-01-05T10:29:00.000Z,0.85,3,Immediate
2022,Curtis,Harper,DL,Syracuse,Akron,2021-11-24T14:19:00.000Z,0.81,3,Immediate
2022,Cory,Gross,S,Buffalo,,2022-01-13T15:32:00.000Z,,3,Immediate
2022,Nesta Jade,Silvera,DL,Miami,Arizona State,2022-01-07T11:45:00.000Z,0.9,4,Immediate
2022,Alan,Ali,IOL,SMU,TCU,2022-01-05T14:53:00.000Z,0.91,4,Immediate
2022,Jakovi,Bryant,CB,Florida Intl,,2021-11-08T13:40:00.000Z,0.79,2,Immediate
2022,Geordon,Porter,WR,Arizona State,,2021-11-08T13:21:00.000Z,0.81,3,Immediate
2022,Bradley,Jennings Jr.,LB,Miami,Indiana,2021-11-08T12:45:00.000Z,0.83,3,Immediate
2022,Joseph,Charleston,S,Clemson,Missouri,2021-10-18T16:08:00.000Z,0.83,3,Immediate
2022,Rosendo,Louis,LB,South Carolina,,2021-10-18T14:39:00.000Z,0.81,3,Immediate
2022,Damon,Gentry Jr.,CB,New Mexico,,2021-09-14T09:26:00.000Z,,3,Immediate
2022,Tyler,Barnes,CB,Southern Mississippi,,2021-09-13T10:05:00.000Z,,2,Immediate
2022,Jamason,Jodway,RB,Akron,,2021-09-09T13:50:00.000Z,,,Immediate
2022,Michael,Dowell,S,Michigan State,Pittsburgh,2021-11-28T14:21:00.000Z,0.87,3,Immediate
2022,Dre,Butler,DL,Auburn,Liberty,2022-01-03T10:11:00.000Z,0.87,3,Immediate
2022,Kendall,Catalon,WR,Arkansas,,2022-01-03T10:11:00.000Z,,2,Immediate
